* Generated by rew_pipeline.py (source UUID d6e13d27-c0b9-4485-a753-30852daa243e, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:01
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw8 B = FRX-trimmed.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
55.664062 67.519 -154.0233
55.847168 67.170 141.0455
56.030273 66.763 76.5131
56.213379 66.456 12.7947
56.396484 66.403 -51.4686
56.579590 66.430 -118.0797
56.762695 66.165 173.2541
56.945801 65.395 105.1936
57.128906 64.355 41.5238
57.312012 63.922 -16.8740
57.495117 64.595 -76.8029
57.678223 65.476 -143.3216
57.861328 65.668 146.0583
58.044434 64.856 76.2095
58.227539 63.254 13.0781
58.410645 62.189 -39.3838
58.593750 62.988 -91.7225
58.776855 64.229 -153.6847
58.959961 64.666 139.3796
59.143066 64.232 73.8617
59.326172 63.575 14.0219
59.509277 63.713 -42.0970
59.692383 64.644 -101.7288
59.875488 65.496 -166.3301
60.058594 65.866 127.5199
60.241699 65.900 63.0557
60.424805 66.012 1.4230
60.607910 66.530 -58.8183
60.791016 67.430 -119.7003
60.974121 68.539 178.1396
61.157227 69.767 114.7193
61.340332 71.052 49.8379
61.523438 72.290 -16.5797
61.706543 73.390 -84.1263
61.889648 74.347 -152.1956
62.072754 75.221 139.5340
62.255859 76.077 70.9118
62.438965 76.920 1.5848
62.622070 77.705 -68.5781
62.805176 78.384 -139.3622
62.988281 78.946 149.5825
63.171387 79.403 78.4827
63.354492 79.767 7.3656
63.537598 80.023 -63.7927
63.720703 80.142 -134.8486
63.903809 80.121 154.5785
64.086914 80.014 84.9221
64.270020 79.933 16.2878
64.453125 79.980 -51.8293
64.636230 80.158 -120.2679
64.819336 80.363 170.5084
65.002441 80.476 100.7604
65.185547 80.446 31.2088
65.368652 80.319 -37.4657
65.551758 80.206 -105.0891
65.734863 80.206 -172.1966
65.917969 80.327 120.3252
66.101074 80.488 51.8903
66.284180 80.593 -17.5157
66.467285 80.590 -87.5246
66.650391 80.473 -157.6689
66.833496 80.273 132.4344
67.016602 80.032 62.9879
67.199707 79.789 -6.0324
67.382812 79.552 -74.8378
67.565918 79.283 -143.6362
67.749023 78.919 147.6216
67.932129 78.413 79.3582
68.115234 77.795 12.2231
68.298340 77.193 -53.3818
68.481445 76.778 -117.9307
68.664551 76.605 177.2777
68.847656 76.549 111.2630
69.030762 76.438 44.1831
69.213867 76.206 -23.0595
69.396973 75.914 -89.6860
69.580078 75.680 -155.6920
69.763184 75.542 138.2372
69.946289 75.419 71.5760
70.129395 75.204 4.5538
70.312500 74.875 -62.1322
70.495605 74.516 -128.0508
70.678711 74.222 166.4903
70.861816 73.982 100.8289
71.044922 73.695 34.8271
71.228027 73.300 -30.8913
71.411133 72.865 -95.6158
71.594238 72.531 -159.4795
71.777344 72.337 136.4846
71.960449 72.144 71.5919
72.143555 71.788 6.4339
72.326660 71.268 -57.5970
72.509766 70.796 -119.6282
72.692871 70.620 179.4801
72.875977 70.731 117.9094
73.059082 70.901 55.1280
73.242188 71.006 -7.8814
73.425293 71.129 -70.2047
73.608398 71.412 -132.1647
73.791504 71.843 165.2130
73.974609 72.269 101.6775
74.157715 72.607 38.0143
74.340820 72.944 -24.9934
74.523926 73.438 -87.6008
74.707031 74.128 -150.9450
74.890137 74.891 144.2320
75.073242 75.588 78.2007
75.256348 76.180 11.7020
75.439453 76.723 -54.7673
75.622559 77.284 -121.2384
75.805664 77.879 171.9596
75.988770 78.470 104.6347
76.171875 79.013 36.9093
76.354980 79.498 -30.9549
76.538086 79.947 -98.7958
76.721191 80.382 -166.6223
76.904297 80.813 125.4554
77.087402 81.231 57.3454
77.270508 81.621 -10.9571
77.453613 81.974 -79.3916
77.636719 82.289 -147.8793
77.819824 82.570 143.6441
78.002930 82.828 75.2320
78.186035 83.084 6.9018
78.369141 83.362 -61.4529
78.552246 83.668 -130.0407
78.735352 83.989 160.9585
78.918457 84.298 91.4731
79.101562 84.566 21.5641
79.284668 84.779 -48.6136
79.467773 84.940 -118.9236
79.650879 85.055 170.6902
79.833984 85.123 100.2303
80.017090 85.138 29.6967
80.200195 85.087 -40.8707
80.383301 84.967 -111.3896
80.566406 84.781 178.2207
80.749512 84.538 107.9978
80.932617 84.247 37.9385
81.115723 83.911 -31.9609
81.298828 83.529 -101.6669
81.481934 83.106 -171.1089
81.665039 82.652 119.7738
81.848145 82.182 50.9803
82.031250 81.704 -17.5544
82.214355 81.211 -85.8991
82.397461 80.690 -154.0528
82.580566 80.132 138.0792
82.763672 79.544 70.6470
82.946777 78.947 3.7870
83.129883 78.379 -62.4475
83.312988 77.885 -128.1467
83.496094 77.494 166.4269
83.679199 77.207 100.8952
83.862305 76.987 34.9284
84.045410 76.770 -31.5801
84.228516 76.502 -98.4767
84.411621 76.165 -165.4975
84.594727 75.766 127.5256
84.777832 75.315 60.6076
84.960938 74.796 -6.2349
85.144043 74.179 -72.7416
85.327148 73.466 -138.2930
85.510254 72.759 157.7930
85.693359 72.250 95.4603
85.876465 72.067 33.4615
86.059570 72.129 -29.6440
86.242676 72.251 -94.2398
86.425781 72.323 -159.8434
86.608887 72.352 134.0130
86.791992 72.377 67.3273
86.975098 72.388 -0.1182
87.158203 72.328 -68.2231
87.341309 72.162 -136.4341
87.524414 71.920 155.9026
87.707520 71.680 89.0428
87.890625 71.488 22.6722
88.073730 71.305 -43.6283
88.256836 71.069 -109.8613
88.439941 70.797 -175.8594
88.623047 70.583 117.9230
88.806152 70.462 50.1862
88.989258 70.315 -20.2542
89.172363 69.978 -93.4836
89.355469 69.383 -168.4922
89.538574 68.620 116.2755
89.721680 67.933 42.0404
89.904785 67.580 -31.5703
90.087891 67.569 -106.7161
90.270996 67.595 174.4731
90.454102 67.355 90.9778
90.637207 66.839 2.4387
90.820312 66.441 -90.2158
91.003418 66.652 177.2354
91.186523 67.459 90.2727
91.369629 68.543 10.6337
91.552734 69.754 -63.5872
91.735840 71.014 -135.3132
91.918945 72.184 153.4646
92.102051 73.149 82.1627
92.285156 73.895 10.9330
92.468262 74.484 -60.0615
92.651367 74.987 -130.9234
92.834473 75.429 158.1338
93.017578 75.790 87.0831
93.200684 76.050 16.1721
93.383789 76.220 -54.2588
93.566895 76.343 -124.0334
93.750000 76.466 166.7471
93.933105 76.608 97.8256
94.116211 76.765 28.9987
94.299316 76.928 -39.8208
94.482422 77.094 -108.7043
94.665527 77.250 -177.7676
94.848633 77.359 112.9313
95.031738 77.376 43.5465
95.214844 77.278 -25.5484
95.397949 77.096 -93.9648
95.581055 76.896 -161.5767
95.764160 76.739 131.3907
95.947266 76.642 64.5886
96.130371 76.596 -2.1636
96.313477 76.604 -68.8891
96.496582 76.691 -135.7343
96.679688 76.859 156.8997
96.862793 77.041 88.6490
97.045898 77.141 19.5751
97.229004 77.092 -49.8159
97.412109 76.903 -118.9026
97.595215 76.642 172.6464
97.778320 76.382 104.6542
97.961426 76.126 36.6751
98.144531 75.808 -31.4354
98.327637 75.370 -99.2358
98.510742 74.846 -166.0223
98.693848 74.365 128.4727
98.876953 74.045 63.6020
99.060059 73.864 -1.7067
99.243164 73.681 -67.8801
99.426270 73.378 -134.4074
99.609375 72.958 159.5578
99.792480 72.527 94.4330
99.975586 72.189 29.8544
100.158691 71.940 -34.8627
100.341797 71.691 -99.9173
100.524902 71.376 -164.8596
100.708008 71.020 130.8999
100.891113 70.707 67.5560
101.074219 70.499 4.8324
101.257324 70.409 -57.6431
101.440430 70.428 -120.0715
101.623535 70.556 177.3873
101.806641 70.783 114.4995
101.989746 71.072 51.1448
102.172852 71.395 -12.5388
102.355957 71.766 -76.3890
102.539062 72.221 -140.5730
102.722168 72.746 154.4566
102.905273 73.263 88.4221
103.088379 73.683 21.5245
103.271484 73.975 -45.7192
103.454590 74.172 -112.8650
103.637695 74.339 -179.8302
103.820801 74.511 113.1464
104.003906 74.667 45.8532
104.187012 74.765 -21.5994
104.370117 74.795 -88.8445
104.553223 74.798 -155.5942
104.736328 74.830 138.0657
104.919434 74.910 71.7256
105.102539 74.995 5.0358
105.285645 75.022 -61.9862
105.468750 74.961 -129.0201
105.651855 74.839 164.2638
105.834961 74.712 97.9568
106.018066 74.621 31.8964
106.201172 74.572 -34.1222
106.384277 74.546 -100.1493
106.567383 74.533 -166.0999
106.750488 74.538 128.0892
106.933594 74.563 62.3783
107.116699 74.600 -3.3111
107.299805 74.637 -69.0038
107.482910 74.670 -134.6827
107.666016 74.707 159.6284
107.849121 74.751 93.8421
108.032227 74.793 27.8940
108.215332 74.821 -38.1683
108.398438 74.832 -104.2091
108.581543 74.839 -170.1225
108.764648 74.856 124.0899
108.947754 74.883 58.3726
109.130859 74.907 -7.2632
109.313965 74.930 -72.7132
109.497070 74.973 -137.9043
109.680176 75.070 157.0594
109.863281 75.235 91.9168
110.046387 75.448 26.4494
110.229492 75.680 -39.3624
110.412598 75.919 -105.4026
110.595703 76.171 -171.6080
110.778809 76.445 121.9314
110.961914 76.721 55.0665
111.145020 76.962 -12.2360
111.328125 77.134 -79.8258
111.511230 77.232 -147.4592
111.694336 77.273 145.0494
111.877441 77.289 77.7364
112.060547 77.299 10.5175
112.243652 77.303 -56.6979
112.426758 77.292 -123.9183
112.609863 77.257 168.9259
112.792969 77.201 101.9233
112.976074 77.127 35.1454
113.159180 77.046 -31.3486
113.342285 76.974 -97.5122
113.525391 76.938 -163.3684
113.708496 76.965 130.9230
113.891602 77.057 65.0990
114.074707 77.191 -1.0486
114.257812 77.325 -67.5297
114.440918 77.436 -134.1750
114.624023 77.528 159.2050
114.807129 77.622 92.6589
114.990234 77.735 26.0622
115.173340 77.858 -40.7624
115.356445 77.968 -107.8986
115.539551 78.047 -175.3006
115.722656 78.089 117.1272
115.905762 78.099 49.4437
116.088867 78.081 -18.3354
116.271973 78.026 -86.1718
116.455078 77.929 -153.9534
116.638184 77.794 138.4706
116.821289 77.643 71.1865
117.004395 77.495 4.1393
117.187500 77.359 -62.8296
117.370605 77.219 -129.8484
117.553711 77.054 163.0884
117.736816 76.856 96.0990
117.919922 76.634 29.3032
118.103027 76.408 -37.2637
118.286133 76.186 -103.6323
118.469238 75.967 -169.8081
118.652344 75.752 124.2744
118.835449 75.554 58.6827
119.018555 75.397 -6.6355
119.201660 75.294 -71.8789
119.384766 75.233 -137.2612
119.567871 75.184 157.1537
119.750977 75.130 91.4776
119.934082 75.080 25.8650
120.117188 75.062 -39.6480
120.300293 75.099 -105.1949
120.483398 75.187 -170.9789
120.666504 75.301 122.8731
120.849609 75.409 56.3695
121.032715 75.491 -10.3940
121.215820 75.537 -77.3144
121.398926 75.551 -144.3299
121.582031 75.535 148.5700
121.765137 75.492 81.3623
121.948242 75.417 14.0217
122.131348 75.299 -53.4421
122.314453 75.129 -120.9575
122.497559 74.901 171.6025
122.680664 74.620 104.3737
122.863770 74.300 37.4400
123.046875 73.955 -29.1905
123.229980 73.587 -95.5435
123.413086 73.194 -161.6047
123.596191 72.776 132.7096
123.779297 72.349 67.4954
123.962402 71.936 2.7732
124.145508 71.555 -61.5260
124.328613 71.212 -125.4661
124.511719 70.910 170.9837
124.694824 70.670 107.8880
124.877930 70.533 45.1622
125.061035 70.528 -17.5064
125.244141 70.642 -80.4853
125.427246 70.836 -143.9552
125.610352 71.083 152.1031
125.793457 71.372 87.7244
125.976562 71.697 22.8403
126.159668 72.029 -42.6301
126.342773 72.323 -108.6096
126.525879 72.550 -174.8284
126.708984 72.714 119.0325
126.892090 72.854 53.1340
127.075195 73.008 -12.6278
127.258301 73.188 -78.5211
127.441406 73.373 -144.7495
127.624512 73.534 148.6903
127.807617 73.658 81.9546
127.990723 73.761 15.1950
128.173828 73.865 -51.5555
128.356934 73.985 -118.3791
128.540039 74.116 174.6235
128.723145 74.237 107.4239
128.906250 74.330 40.0789
129.089355 74.385 -27.3159
129.272461 74.401 -94.6797
129.455566 74.383 -161.9711
129.638672 74.337 130.8145
129.821777 74.270 63.6594
130.004883 74.186 -3.4632
130.187988 74.089 -70.5797
130.371094 73.975 -137.7100
130.554199 73.842 155.1410
130.737305 73.680 87.9988
130.920410 73.480 20.9399
131.103516 73.238 -45.9027
131.286621 72.964 -112.3766
131.469727 72.688 -178.4004
131.652832 72.444 115.9431
131.835938 72.247 50.4138
132.019043 72.084 -15.2290
132.202148 71.917 -81.0390
132.385254 71.722 -146.8483
132.568359 71.506 147.5803
132.751465 71.301 82.3484
132.934570 71.136 17.3470
133.117676 71.008 -47.6036
133.300781 70.898 -112.5522
133.483887 70.797 -177.3955
133.666992 70.723 117.9337
133.850098 70.703 53.2934
134.033203 70.734 -11.6043
134.216309 70.779 -76.9410
134.399414 70.799 -142.6438
134.582520 70.778 151.5175
134.765625 70.733 85.7289
134.948730 70.684 20.0333
135.131836 70.639 -45.5948
135.314941 70.592 -111.1270
135.498047 70.547 -176.4793
135.681152 70.515 118.3730
135.864258 70.501 53.3382
136.047363 70.493 -11.6818
136.230469 70.469 -76.6453
136.413574 70.431 -141.4054
136.596680 70.414 154.0710
136.779785 70.448 89.5586
136.962891 70.521 24.7433
137.145996 70.589 -40.4384
137.329102 70.623 -105.7106
137.512207 70.653 -170.7421
137.695312 70.740 124.4735
137.878418 70.910 59.5647
138.061523 71.123 -5.8172
138.244629 71.309 -71.6117
138.427734 71.438 -137.4284
138.610840 71.546 157.0413
138.793945 71.686 91.7112
138.977051 71.868 26.2158
139.160156 72.047 -39.6537
139.343262 72.177 -105.7202
