* Generated by rew_pipeline.py (source UUID a5e9af94-77a9-4614-b030-74790d74babe, calibrated to its own SPL at 100 Hz)
* Measurement: L.nofdw.clean-fdw8
* Dated: 2026-Sep-12 16:09:58
* Note: ; Copy of L.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from R and L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY 0.0001 ms (0.03 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
100.341797 72.382 -97.6637
100.708008 72.674 133.0302
101.074219 73.201 2.7199
101.440430 73.704 -130.8684
101.806641 74.194 99.5996
102.172852 74.636 -31.3825
102.539062 75.419 -163.2954
102.905273 76.165 62.1141
103.271484 77.144 -71.3659
103.637695 77.952 152.6848
104.003906 78.195 16.6339
104.370117 78.554 -120.4532
104.736328 78.398 102.3355
105.102539 78.258 -35.2952
105.468750 78.152 -170.8776
105.834961 77.823 53.5215
106.201172 77.311 -81.5367
106.567383 76.838 144.5316
106.933594 76.041 12.5148
107.299805 75.309 -117.6351
107.666016 74.603 113.3971
108.032227 74.326 -12.7834
108.398438 74.445 -141.2810
108.764648 75.089 91.8560
109.130859 75.448 -38.4687
109.497070 76.238 -169.8606
109.863281 76.475 57.6802
110.229492 77.116 -74.9661
110.595703 77.409 151.6892
110.961914 77.714 18.1642
111.328125 78.072 -116.2130
111.694336 78.009 111.2966
112.060547 78.107 -21.6662
112.426758 78.428 -153.7451
112.792969 78.788 72.8456
113.159180 79.027 -60.5444
113.525391 79.526 164.6419
113.891602 79.732 28.5968
114.257812 79.963 -106.9090
114.624023 80.041 116.9896
114.990234 80.002 -19.8234
115.356445 79.636 -157.1487
115.722656 79.116 66.9179
116.088867 78.361 -68.3890
116.455078 77.536 157.7011
116.821289 76.557 25.9050
117.187500 75.658 -101.7699
117.553711 75.390 129.3673
117.919922 75.442 3.7729
118.286133 75.685 -125.6435
118.652344 76.094 103.3735
119.018555 76.326 -29.1723
119.384766 76.479 -159.9935
119.750977 76.763 66.6829
120.117188 76.409 -66.4413
120.483398 76.139 161.4826
120.849609 75.909 30.6056
121.215820 75.949 -98.2608
121.582031 75.801 132.7262
121.948242 76.313 2.7396
122.314453 76.901 -126.6914
122.680664 77.431 100.9265
123.046875 78.279 -32.0875
123.413086 78.828 -165.7675
123.779297 79.216 58.1281
124.145508 79.370 -78.4307
124.511719 79.355 145.1639
124.877930 79.361 9.7622
125.244141 79.227 -123.9837
125.610352 79.043 101.3121
125.976562 78.808 -32.5487
126.342773 78.631 -165.8669
126.708984 78.351 58.2336
127.075195 77.972 -74.9267
127.441406 77.764 151.4085
127.807617 77.341 17.8411
128.173828 76.889 -112.4028
128.540039 76.514 114.2132
128.906250 76.248 -16.5948
129.272461 76.029 -148.7826
129.638672 76.048 81.5270
130.004883 75.789 -50.5144
130.371094 75.476 177.4190
130.737305 75.085 46.8624
131.103516 74.872 -84.6067
131.469727 74.491 144.1757
131.835938 74.758 15.9964
132.202148 74.548 -113.0946
132.568359 74.939 115.9172
132.934570 75.235 -13.8430
133.300781 75.350 -147.3080
133.666992 75.347 81.5057
134.033203 75.484 -51.4260
134.399414 75.306 176.1014
134.765625 75.197 44.8126
135.131836 75.112 -84.7992
135.498047 75.058 143.8632
135.864258 75.226 13.7813
136.230469 75.524 -116.5410
136.596680 75.662 110.6895
136.962891 75.725 -19.3203
137.329102 76.101 -149.7217
137.695312 76.305 77.6689
138.061523 76.666 -54.1298
138.427734 77.075 174.5368
138.793945 77.370 41.0342
139.160156 77.907 -92.3528
139.526367 78.197 134.6174
139.892578 78.391 0.3150
140.258789 78.571 -133.0280
140.625000 78.661 91.0858
140.991211 78.714 -42.8190
141.357422 78.625 -176.2998
141.723633 78.766 50.1568
142.089844 78.589 -83.2040
142.456055 78.709 143.3585
142.822266 78.758 9.3344
143.188477 78.838 -124.2769
143.554688 79.003 101.4889
143.920898 78.848 -32.9652
144.287109 78.735 -168.6781
144.653320 78.568 57.0432
145.019531 78.412 -78.9203
145.385742 77.926 146.5269
145.751953 77.488 11.7665
146.118164 76.783 -123.3246
146.484375 75.813 103.1301
146.850586 74.985 -28.5202
147.216797 73.838 -157.5083
147.583008 73.157 77.0673
147.949219 72.572 -49.8674
148.315430 72.471 -171.9870
148.681641 73.113 62.8293
149.047852 73.869 -65.4121
149.414062 74.757 165.1779
149.780273 75.578 33.6025
150.146484 76.130 -99.7018
150.512695 76.876 126.1757
150.878906 77.144 -8.4890
151.245117 77.378 -144.2836
151.611328 77.346 81.2293
151.977539 77.180 -51.7022
152.343750 77.132 173.5313
152.709961 76.967 40.5171
153.076172 76.919 -92.5712
153.442383 76.626 135.8115
153.808594 76.620 3.7264
154.174805 76.664 -128.2284
154.541016 76.628 98.5701
154.907227 76.344 -32.4809
155.273438 76.507 -162.7845
155.639648 76.733 65.1847
156.005859 76.808 -67.4322
156.372070 76.903 161.3357
156.738281 76.984 29.0919
157.104492 77.141 -103.1029
157.470703 77.385 124.2095
157.836914 77.580 -7.8833
158.203125 78.012 -139.6885
158.569336 78.363 86.1434
158.935547 78.631 -48.6216
159.301758 78.865 176.6253
159.667969 78.814 41.2640
160.034180 78.942 -93.5568
160.400391 78.646 130.9080
160.766602 78.454 -2.9495
161.132812 78.144 -136.4782
161.499023 77.995 89.6057
161.865234 77.706 -43.5044
162.231445 77.400 -176.3521
162.597656 77.161 50.8026
162.963867 77.063 -81.8699
163.330078 76.881 146.0460
163.696289 76.827 14.3268
164.062500 76.617 -117.5494
164.428711 76.769 111.1896
164.794922 76.817 -22.0750
165.161133 76.896 -153.7546
165.527344 77.030 73.2231
165.893555 77.302 -61.8255
166.259766 77.331 164.3062
166.625977 77.174 30.3763
166.992188 77.192 -105.5224
167.358398 77.025 120.1932
167.724609 76.928 -15.7481
168.090820 76.349 -150.0450
168.457031 76.139 76.4158
168.823242 75.654 -58.2701
169.189453 75.193 167.8190
169.555664 74.709 34.1852
169.921875 74.127 -97.2209
170.288086 73.769 129.7339
170.654297 73.099 -3.5370
171.020508 72.755 -135.8800
171.386719 72.333 91.2551
171.752930 71.761 -40.8848
172.119141 71.017 -172.4687
172.485352 70.335 55.8135
172.851562 69.618 -72.6196
173.217773 68.635 156.3661
173.583984 68.473 29.5475
173.950195 67.819 -98.7756
174.316406 67.698 137.7048
174.682617 67.983 11.4292
175.048828 68.111 -114.9575
175.415039 68.264 114.2022
175.781250 68.940 -12.9644
176.147461 69.672 -142.3844
176.513672 70.228 84.8371
176.879883 70.773 -45.1515
177.246094 71.167 -179.6207
177.612305 71.561 45.6836
177.978516 72.227 -87.0346
178.344727 72.231 137.0207
178.710938 72.423 2.4111
179.077148 72.605 -131.7143
179.443359 72.707 92.1490
179.809570 72.716 -42.0747
180.175781 72.690 -176.1960
180.541992 72.398 48.9171
180.908203 72.424 -87.5225
181.274414 72.702 138.5452
181.640625 72.564 2.0508
182.006836 72.250 -134.9678
182.373047 71.900 87.5901
182.739258 71.649 -50.9184
183.105469 71.659 172.6212
183.471680 71.224 33.6075
183.837891 70.764 -104.2169
184.204102 70.190 112.4736
184.570312 69.509 -29.3231
184.936523 69.360 -170.5426
185.302734 68.759 44.8719
185.668945 68.044 -102.3459
186.035156 67.662 109.7750
186.401367 67.172 -32.8837
186.767578 66.969 173.7631
187.133789 67.619 29.4281
187.500000 67.902 -115.6542
187.866211 68.687 99.5084
