* Generated by rew_pipeline.py (source UUID f0175bf7-856b-4f82-b8d3-e215cf908451, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:02
* Note: ; Vector average of L.filtered.clean-fdw8, R.filtered.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
60.424805 69.699 94.5488
60.607910 70.319 24.6235
60.791016 70.992 -45.9822
60.974121 71.708 -117.1183
61.157227 72.422 171.4035
61.340332 73.129 99.7941
61.523438 73.799 28.1417
61.706543 74.440 -43.3760
61.889648 75.058 -114.9231
62.072754 75.659 173.3888
62.255859 76.224 101.2778
62.438965 76.717 28.8043
62.622070 77.125 -43.8847
62.805176 77.443 -116.4790
62.988281 77.708 171.1853
63.171387 77.933 99.0567
63.354492 78.122 27.0061
63.537598 78.233 -45.0774
63.720703 78.235 -116.9460
63.903809 78.132 171.7340
64.086914 77.989 101.3656
64.270020 77.913 31.8341
64.453125 77.967 -37.3740
64.636230 78.126 -106.9632
64.819336 78.277 -177.1180
65.002441 78.338 112.5357
65.185547 78.280 42.6292
65.368652 78.173 -26.3654
65.551758 78.112 -94.5957
65.734863 78.163 -162.6671
65.917969 78.295 128.6434
66.101074 78.431 59.1029
66.284180 78.506 -11.1771
66.467285 78.495 -81.7775
66.650391 78.416 -152.4377
66.833496 78.277 137.0327
67.016602 78.090 66.6565
67.199707 77.838 -3.5432
67.382812 77.515 -73.5188
67.565918 77.099 -143.2298
67.749023 76.588 147.4872
67.932129 75.979 78.7855
68.115234 75.303 11.0387
68.298340 74.627 -55.5671
68.481445 74.051 -121.0003
68.664551 73.653 174.1123
68.847656 73.415 109.1244
69.030762 73.262 43.5699
69.213867 73.107 -22.3859
69.396973 72.940 -88.5417
69.580078 72.761 -154.8013
69.763184 72.589 138.6873
69.946289 72.382 71.8742
70.129395 72.138 5.0235
70.312500 71.868 -61.5807
70.495605 71.644 -127.8014
70.678711 71.486 165.9098
70.861816 71.347 99.2728
71.044922 71.122 32.2538
71.228027 70.758 -34.4384
71.411133 70.308 -100.3426
71.594238 69.878 -165.3709
71.777344 69.539 129.5689
71.960449 69.195 63.8669
72.143555 68.731 -2.3514
72.326660 68.082 -67.9418
72.509766 67.402 -131.8982
72.692871 66.888 165.6731
72.875977 66.647 103.3668
73.059082 66.473 40.1278
73.242188 66.186 -23.3810
73.425293 65.740 -85.8586
73.608398 65.349 -146.4905
73.791504 65.157 153.6778
73.974609 65.129 93.6222
74.157715 65.087 33.4436
74.340820 65.117 -25.3215
74.523926 65.515 -82.8703
74.707031 66.456 -141.3183
74.890137 67.677 157.1221
75.073242 68.856 92.9298
75.256348 69.858 27.2569
75.439453 70.716 -38.7751
75.622559 71.509 -105.0350
75.805664 72.265 -171.5999
75.988770 72.981 121.2816
76.171875 73.621 53.7522
76.354980 74.201 -14.0299
76.538086 74.729 -81.9290
76.721191 75.230 -149.9469
76.904297 75.690 141.8793
77.087402 76.102 73.6453
77.270508 76.452 5.4650
77.453613 76.759 -62.4722
77.636719 77.048 -130.2302
77.819824 77.342 162.0844
78.002930 77.638 94.2287
78.186035 77.925 26.1623
78.369141 78.195 -42.1742
78.552246 78.435 -110.7086
78.735352 78.647 -179.4062
78.918457 78.815 111.8187
79.101562 78.937 43.0752
79.284668 79.007 -25.4809
79.467773 79.051 -93.7195
79.650879 79.091 -161.7084
79.833984 79.147 130.4126
80.017090 79.208 62.4166
80.200195 79.256 -5.7346
80.383301 79.268 -74.0042
80.566406 79.246 -142.1733
80.749512 79.212 149.8300
80.932617 79.187 81.9956
81.115723 79.182 14.1542
81.298828 79.177 -53.8064
81.481934 79.152 -121.9078
81.665039 79.084 169.9534
81.848145 78.982 101.9255
82.031250 78.855 34.0543
82.214355 78.726 -33.6585
82.397461 78.594 -101.3276
82.580566 78.455 -168.9484
82.763672 78.296 123.4816
82.946777 78.118 56.1071
83.129883 77.938 -11.0652
83.312988 77.771 -78.0699
83.496094 77.626 -145.1268
83.679199 77.477 147.6219
83.862305 77.298 80.1338
84.045410 77.053 12.5749
84.228516 76.746 -54.7910
84.411621 76.388 -121.7593
84.594727 76.014 171.7897
84.777832 75.635 105.8227
84.960938 75.263 40.4257
85.144043 74.913 -24.3424
85.327148 74.633 -88.3499
85.510254 74.489 -151.9021
85.693359 74.512 144.4794
85.876465 74.662 80.1551
86.059570 74.859 15.0207
86.242676 75.055 -50.8016
86.425781 75.233 -117.0397
86.608887 75.404 176.3415
