* Generated by rew_pipeline.py (source UUID dfb65ea2-0ad3-4047-a78a-47ab03241470, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw8
* Dated: 2026-Sep-12 16:10:00
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw8 B = FLX-trimmed.clean-fdw8
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
49.438477 81.129 -102.1039
49.621582 81.378 -170.7552
49.804688 81.664 120.7400
49.987793 82.066 52.0245
50.170898 82.571 -17.4535
50.354004 83.089 -87.9182
50.537109 83.521 -159.1186
50.720215 83.814 129.4232
50.903320 83.969 58.1033
51.086426 84.018 -12.9384
51.269531 83.993 -83.8082
51.452637 83.907 -154.6958
51.635742 83.755 134.3153
51.818848 83.533 63.3182
52.001953 83.250 -7.4905
52.185059 82.927 -77.9353
52.368164 82.585 -147.9320
52.551270 82.232 142.5325
52.734375 81.867 73.4478
52.917480 81.495 4.7746
53.100586 81.120 -63.6055
53.283691 80.736 -131.8637
53.466797 80.317 159.9352
53.649902 79.839 91.9965
53.833008 79.324 24.7466
54.016113 78.860 -41.5257
54.199219 78.559 -107.1364
54.382324 78.449 -172.9875
54.565430 78.429 120.1929
54.748535 78.352 52.4797
54.931641 78.147 -15.4207
55.114746 77.857 -82.7928
55.297852 77.598 -149.5128
55.480957 77.448 143.8035
55.664062 77.363 76.4195
55.847168 77.226 8.2506
56.030273 76.958 -60.0662
56.213379 76.591 -127.7069
56.396484 76.252 165.6585
56.579590 76.057 99.4935
56.762695 76.000 32.8561
56.945801 75.966 -34.6723
57.128906 75.853 -102.6958
57.312012 75.656 -170.4685
57.495117 75.460 122.4803
57.678223 75.363 55.9867
57.861328 75.395 -10.5536
58.044434 75.498 -77.6049
58.227539 75.599 -145.1873
58.410645 75.660 146.9285
58.593750 75.688 78.9094
58.776855 75.701 10.7507
58.959961 75.703 -57.6113
59.143066 75.691 -126.1549
59.326172 75.669 165.2354
59.509277 75.654 96.6595
59.692383 75.664 28.1161
59.875488 75.706 -40.4666
60.058594 75.774 -109.1442
60.241699 75.869 -177.9370
60.424805 76.002 113.0947
60.607910 76.183 43.7987
60.791016 76.402 -25.9922
60.974121 76.632 -96.3116
61.157227 76.850 -167.0028
61.340332 77.052 122.1720
61.523438 77.257 51.3382
61.706543 77.484 -19.6101
61.889648 77.724 -90.9346
62.072754 77.938 -162.8295
62.255859 78.075 124.7519
62.438965 78.110 52.0915
62.622070 78.055 -20.4475
62.805176 77.956 -92.6255
62.988281 77.863 -164.4679
63.171387 77.795 123.7740
63.354492 77.721 51.8548
63.537598 77.591 -20.2364
63.720703 77.375 -92.2413
63.903809 77.095 -163.8048
64.086914 76.823 125.2577
64.270020 76.638 54.7660
64.453125 76.569 -15.7245
64.636230 76.568 -86.5356
64.819336 76.555 -157.5747
65.002441 76.478 131.5856
65.185547 76.349 61.3713
65.368652 76.230 -8.1466
65.551758 76.180 -77.3872
65.734863 76.202 -146.9926
65.917969 76.247 142.6406
66.101074 76.262 71.5713
66.284180 76.232 0.1375
66.467285 76.179 -71.3587
66.650391 76.123 -142.8513
66.833496 76.049 145.5324
67.016602 75.899 73.6957
67.199707 75.602 1.7579
67.382812 75.118 -69.9461
67.565918 74.463 -141.0224
67.749023 73.703 148.7597
67.932129 72.919 79.3208
68.115234 72.148 10.4010
68.298340 71.361 -58.0210
68.481445 70.524 -125.4114
68.664551 69.683 169.1091
68.847656 69.019 105.8925
69.030762 68.720 43.7788
69.213867 68.746 -19.3300
69.396973 68.841 -84.5294
69.580078 68.784 -151.3820
69.763184 68.521 141.1903
69.946289 68.150 74.0875
70.129395 67.836 7.5688
70.312500 67.705 -58.8197
70.495605 67.755 -125.7676
70.678711 67.877 166.4131
70.861816 67.941 97.9208
71.044922 67.856 29.2122
71.228027 67.590 -39.2558
71.411133 67.168 -107.1997
71.594238 66.661 -174.6607
71.777344 66.143 117.9351
71.960449 65.634 50.0038
72.143555 65.096 -18.7211
72.326660 64.477 -87.8977
72.509766 63.779 -156.7692
72.692871 63.080 135.2033
72.875977 62.480 67.6374
73.059082 61.956 -0.7750
73.242188 61.324 -71.3064
73.425293 60.363 -144.5098
73.608398 58.973 139.4389
73.791504 57.292 60.0049
73.974609 55.824 -23.9060
74.157715 55.371 -112.1653
74.340820 56.308 158.6962
74.523926 58.081 71.9269
74.707031 59.990 -12.1106
74.890137 61.691 -93.7684
75.073242 63.103 -172.9442
75.256348 64.267 110.6614
75.439453 65.275 37.0584
75.622559 66.220 -34.2868
75.805664 67.142 -104.2930
75.988770 68.018 -173.7987
76.171875 68.804 116.7601
76.354980 69.478 47.2749
76.538086 70.043 -22.2204
76.721191 70.511 -91.5801
76.904297 70.900 -160.5310
77.087402 71.247 131.2571
77.270508 71.622 63.9558
77.453613 72.097 -2.7193
77.636719 72.683 -69.4733
77.819824 73.300 -136.9067
78.002930 73.842 154.9211
78.186035 74.244 86.4455
78.369141 74.518 18.2742
78.552246 74.746 -49.1631
78.735352 75.027 -115.8250
78.918457 75.434 177.9952
79.101562 75.982 111.9158
79.284668 76.660 45.6268
79.467773 77.440 -21.1710
79.650879 78.269 -88.7782
79.833984 79.079 -157.3378
80.017090 79.806 133.2365
80.200195 80.412 63.1971
80.383301 80.898 -7.1314
80.566406 81.298 -77.5228
80.749512 81.650 -147.9572
80.932617 81.972 141.4616
81.115723 82.250 70.6562
81.298828 82.458 -0.3223
81.481934 82.575 -71.2811
81.665039 82.604 -141.9827
81.848145 82.572 147.7150
82.031250 82.513 77.7808
82.214355 82.446 8.0481
82.397461 82.368 -61.6488
82.580566 82.257 -131.3448
82.763672 82.098 159.0765
82.946777 81.890 89.7908
83.129883 81.649 20.9073
83.312988 81.394 -47.5970
83.496094 81.131 -115.8391
83.679199 80.852 176.0794
83.862305 80.542 108.1558
84.045410 80.201 40.4818
84.228516 79.840 -26.8254
84.411621 79.486 -93.6956
84.594727 79.163 -160.1274
84.777832 78.887 133.8385
84.960938 78.667 68.1463
85.144043 78.511 2.7175
85.327148 78.418 -62.5673
85.510254 78.385 -127.8531
85.693359 78.403 166.7327
85.876465 78.462 101.1047
86.059570 78.562 35.2000
86.242676 78.700 -31.0501
86.425781 78.866 -97.7059
86.608887 79.039 -164.7605
86.791992 79.194 127.8980
86.975098 79.314 60.4525
87.158203 79.396 -6.9319
87.341309 79.449 -74.1945
87.524414 79.482 -141.4008
87.707520 79.491 151.3246
87.890625 79.467 83.9054
88.073730 79.408 16.3665
88.256836 79.326 -51.2100
88.439941 79.251 -118.7835
88.623047 79.210 173.5815
88.806152 79.203 105.7630
88.989258 79.204 37.7148
89.172363 79.169 -30.4296
89.355469 79.072 -98.3803
89.538574 78.916 -165.8288
89.721680 78.739 127.3777
89.904785 78.591 61.1220
90.087891 78.507 -4.9426
90.270996 78.486 -71.1989
90.454102 78.509 -137.8845
90.637207 78.557 154.9280
90.820312 78.619 87.2355
91.003418 78.683 19.0439
91.186523 78.723 -49.6014
91.369629 78.709 -118.5609
91.552734 78.620 172.3903
91.735840 78.456 103.4727
91.918945 78.237 34.7725
92.102051 77.982 -33.8336
92.285156 77.687 -102.5958
92.468262 77.312 -171.6730
92.651367 76.806 119.0499
92.834473 76.139 49.9845
93.017578 75.327 -18.2910
93.200684 74.447 -85.2870
93.383789 73.611 -150.9224
93.566895 72.906 144.3473
93.750000 72.329 79.8718
93.933105 71.817 15.3318
94.116211 71.311 -49.1561
94.299316 70.809 -113.3800
94.482422 70.331 -177.3565
94.665527 69.872 118.7231
94.848633 69.394 54.8455
95.031738 68.877 -8.6325
95.214844 68.379 -71.2722
95.397949 68.021 -133.1580
95.581055 67.871 164.8854
95.764160 67.856 102.0306
95.947266 67.841 38.2948
96.130371 67.772 -25.5906
96.313477 67.723 -89.0187
96.496582 67.814 -152.2594
96.679688 68.048 143.7063
96.862793 68.272 78.2915
97.045898 68.301 12.0001
97.229004 68.061 -53.8480
97.412109 67.651 -117.8364
97.595215 67.334 -179.4840
97.778320 67.345 119.9192
97.961426 67.637 58.3988
98.144531 67.969 -4.6250
98.327637 68.198 -68.2958
98.510742 68.372 -131.6734
98.693848 68.628 165.2571
98.876953 69.017 101.6719
99.060059 69.451 36.9482
99.243164 69.818 -28.7008
99.426270 70.091 -94.6126
99.609375 70.334 -160.3717
99.792480 70.613 133.8720
99.975586 70.919 67.7256
100.158691 71.181 1.1405
100.341797 71.350 -65.4239
100.524902 71.456 -131.3912
100.708008 71.592 163.3681
100.891113 71.824 98.3322
101.074219 72.116 32.8251
101.257324 72.365 -33.3047
101.440430 72.511 -99.6109
101.623535 72.582 -165.5238
101.806641 72.676 129.1187
101.989746 72.873 63.9047
102.172852 73.169 -1.7422
102.355957 73.501 -68.0104
102.539062 73.823 -134.6386
102.722168 74.144 158.7060
102.905273 74.498 92.0715
103.088379 74.896 25.2131
103.271484 75.297 -42.1117
103.454590 75.644 -109.8997
103.637695 75.903 -177.9444
103.820801 76.078 113.9564
104.003906 76.192 45.8448
104.187012 76.261 -22.3836
104.370117 76.283 -90.8330
104.553223 76.245 -159.4726
104.736328 76.144 131.8692
104.919434 75.998 63.3899
105.102539 75.840 -4.8177
105.285645 75.689 -72.8028
105.468750 75.544 -140.6708
105.651855 75.383 151.5393
105.834961 75.185 83.8928
106.018066 74.939 16.5000
106.201172 74.649 -50.5664
106.384277 74.320 -117.2992
106.567383 73.955 176.2809
106.750488 73.557 110.1799
106.933594 73.130 44.4485
107.116699 72.688 -20.8407
107.299805 72.253 -85.6244
107.482910 71.855 -149.8706
107.666016 71.524 146.3960
107.849121 71.292 83.0590
108.032227 71.176 19.9110
108.215332 71.172 -43.2719
108.398438 71.261 -106.6397
108.581543 71.424 -170.2681
108.764648 71.649 125.7679
108.947754 71.916 61.3615
109.130859 72.197 -3.5563
109.313965 72.461 -68.9310
109.497070 72.691 -134.5996
109.680176 72.896 159.5977
109.863281 73.093 93.7109
110.046387 73.293 27.6835
110.229492 73.491 -38.5416
110.412598 73.673 -104.9305
110.595703 73.834 -171.3846
110.778809 73.981 122.1514
110.961914 74.120 55.6310
111.145020 74.240 -11.0206
111.328125 74.315 -77.7664
111.511230 74.333 -144.4068
111.694336 74.314 149.3033
111.877441 74.308 83.4438
112.060547 74.361 17.8102
112.243652 74.480 -47.9544
112.426758 74.631 -114.0692
112.609863 74.774 179.5255
112.792969 74.903 113.0368
112.976074 75.038 46.5746
113.159180 75.206 -19.9740
113.342285 75.402 -86.8370
113.525391 75.593 -154.1326
113.708496 75.743 138.2396
113.891602 75.842 70.5106
114.074707 75.905 2.8597
114.257812 75.960 -64.7093
114.440918 76.017 -132.3457
114.624023 76.062 159.7890
114.807129 76.062 91.6530
114.990234 75.992 23.3449
115.173340 75.841 -44.9670
115.356445 75.618 -113.1320
115.539551 75.338 178.9333
115.722656 75.021 111.2427
115.905762 74.673 43.7749
116.088867 74.296 -23.4787
116.271973 73.881 -90.4640
116.455078 73.420 -157.0338
116.638184 72.921 137.0335
116.821289 72.416 71.9391
117.004395 71.959 7.7116
117.187500 71.602 -55.8803
117.370605 71.360 -119.2115
117.553711 71.217 177.4497
117.736816 71.158 114.0406
117.919922 71.190 50.5339
118.103027 71.323 -13.2665
118.286133 71.537 -77.6662
118.469238 71.766 -142.7979
118.652344 71.945 151.5453
118.835449 72.052 85.7790
119.018555 72.116 20.2229
119.201660 72.190 -45.1469
119.384766 72.297 -110.6741
119.567871 72.407 -176.7007
119.750977 72.457 116.7530
119.934082 72.406 50.0168
120.117188 72.260 -16.4485
