* Measurement data measured by REW V5.40 beta 133
* Source: EQ window target shape
* Format: 
* Dated: Sep 10, 2026, 1:39:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz)	SPL(dB)
142.543795	72.537
143.576726	72.505
144.617142	72.472
145.665098	72.440
146.720647	72.408
147.783845	72.377
148.854748	72.345
149.933411	72.314
151.019890	72.283
152.114242	72.252
153.216525	72.222
154.326795	72.191
155.445111	72.162
156.571530	72.132
157.706112	72.103
158.848915	72.073
160.000000	72.045
161.159426	72.017
162.327254	71.989
163.503544	71.961
164.688358	71.934
165.881758	71.907
167.083805	71.880
168.294563	71.853
169.514095	71.827
170.742464	71.801
171.979734	71.776
173.225970	71.750
174.481237	71.726
175.745600	71.701
177.019125	71.677
178.301879	71.653
179.593928	71.630
180.895339	71.607
182.206182	71.584
183.526523	71.561
184.856431	71.539
186.195977	71.517
187.545230	71.496
188.904260	71.474
190.273138	71.454
191.651936	71.433
193.040725	71.412
194.439578	71.392
195.848567	71.373
197.267766	71.354
198.697250	71.335
200.137092	71.316
201.587368	71.298
203.048153	71.280
204.519524	71.262
206.001557	71.244
207.494329	71.228
208.997918	71.211
210.512403	71.194
212.037863	71.178
213.574377	71.162
215.122025	71.146
216.680888	71.131
218.251047	71.116
219.832584	71.101
221.425581	71.086
223.030122	71.071
224.646290	71.057
226.274170	71.044
227.913846	71.030
229.565404	71.017
231.228929	71.004
232.904509	70.991
234.592231	70.979
236.292183	70.966
238.004454	70.954
239.729132	70.943
241.466308	70.931
243.216073	70.920
244.978517	70.908
246.753732	70.898
248.541811	70.887
250.342848	70.876
252.156935	70.866
253.984168	70.856
255.824642	70.846
257.678453	70.836
259.545697	70.827
261.426473	70.817
263.320877	70.808
265.229008	70.799
267.150967	70.790
269.086853	70.782
271.036767	70.773
273.000811	70.765
274.979088	70.757
276.971700	70.749
278.978751	70.742
281.000346	70.734
283.036590	70.726
285.087590	70.719
287.153452	70.712
289.234284	70.705
291.330195	70.699
293.441294	70.692
295.567690	70.686
297.709496	70.680
299.866821	70.674
302.039780	70.668
304.228485	70.662
306.433050	70.656
308.653590	70.650
310.890221	70.644
313.143060	70.639
315.412224	70.633
317.697831	70.628
320.000000	70.623
322.318852	70.618
324.654507	70.613
327.007088	70.608
329.376716	70.604
331.763515	70.599
334.167610	70.595
336.589127	70.590
339.028190	70.586
341.484928	70.582
343.959469	70.578
346.451941	70.574
348.962474	70.571
351.491200	70.567
354.038251	70.563
356.603758	70.559
359.187855	70.556
361.790679	70.552
364.412363	70.549
367.053045	70.546
369.712863	70.542
372.391955	70.539
375.090460	70.536
377.808521	70.533
380.546277	70.530
383.303872	70.527
386.081450	70.525
388.879155	70.522
391.697134	70.519
394.535533	70.516
397.394500	70.514
400.274184	70.511
403.174736	70.509
406.096306	70.507
409.039048	70.504
412.003113	70.502
414.988657	70.500
417.995836	70.497
421.024807	70.495
424.075726	70.493
427.148753	70.491
430.244049	70.489
433.361775	70.487
436.502093	70.485
439.665167	70.483
442.851162	70.482
446.060244	70.480
449.292581	70.478
452.548340	70.476
455.827692	70.475
459.130807	70.473
462.457858	70.471
465.809019	70.470
469.184463	70.468
472.584367	70.467
476.008908	70.466
479.458265	70.464
482.932617	70.463
486.432146	70.462
489.957033	70.460
493.507464	70.459
497.083623	70.458
500.685695	70.457
504.313870	70.455
507.968337	70.454
511.649285	70.453
515.356906	70.452
519.091395	70.451
522.852945	70.450
526.641753	70.449
530.458016	70.448
534.301934	70.447
538.173706	70.446
542.073534	70.445
546.001623	70.444
549.958175	70.443
553.943399	70.442
557.957501	70.441
562.000691	70.441
566.073180	70.440
570.175180	70.439
574.306904	70.438
578.468569	70.438
582.660390	70.437
586.882588	70.436
591.135381	70.435
595.418991	70.435
599.733643	70.434
604.079560	70.433
608.456970	70.433
612.866100	70.432
617.307180	70.432
621.780442	70.431
626.286120	70.430
630.824447	70.430
635.395661	70.429
640.000000	70.428
644.637704	70.428
649.309014	70.427
654.014175	70.427
658.753431	70.426
663.527030	70.426
668.335221	70.425
673.178253	70.425
678.056380	70.425
682.969856	70.425
687.918938	70.424
692.903882	70.424
697.924949	70.423
702.982401	70.423
708.076501	70.422
713.207515	70.422
718.375711	70.421
723.581357	70.421
728.824726	70.420
734.106091	70.420
739.425726	70.420
744.783910	70.420
750.180921	70.419
755.617041	70.419
761.092554	70.419
766.607744	70.419
772.162900	70.418
777.758310	70.418
783.394268	70.418
789.071066	70.418
794.789000	70.417
800.548368	70.417
806.349472	70.417
812.192613	70.417
818.078095	70.416
824.006226	70.416
829.977315	70.416
835.991673	70.416
842.049613	70.415
848.151452	70.415
854.297507	70.415
860.488099	70.415
866.723550	70.414
873.004186	70.414
879.330334	70.414
885.702324	70.414
892.120489	70.413
898.585161	70.413
905.096680	70.413
911.655384	70.413
918.261614	70.413
924.915716	70.413
931.618037	70.413
938.368925	70.413
945.168733	70.412
952.017816	70.412
958.916529	70.412
965.865234	70.412
972.864291	70.412
979.914067	70.412
987.014928	70.411
994.167245	70.410
1001.371391	70.407
1008.627741	70.399
1015.936673	70.388
1023.298569	70.378
1030.713812	70.367
1038.182790	70.357
1045.705890	70.346
1053.283506	70.336
1060.916032	70.325
1068.603867	70.315
1076.347412	70.304
1084.147069	70.294
1092.003245	70.283
1099.916351	70.273
1107.886798	70.262
1115.915003	70.252
1124.001383	70.241
1132.146360	70.230
1140.350359	70.220
1148.613808	70.209
1156.937137	70.199
1165.320781	70.189
1173.765175	70.178
1182.270762	70.168
1190.837983	70.158
1199.467286	70.147
1208.159120	70.137
1216.913939	70.126
1225.732199	70.116
1234.614360	70.105
1243.560885	70.095
1252.572239	70.084
1261.648894	70.073
1270.791322	70.063
1280.000000	70.052
1289.275408	70.042
1298.618029	70.031
1308.028350	70.021
1317.506863	70.011
1327.054061	70.001
1336.670442	69.990
1346.356507	69.980
1356.112761	69.969
1365.939713	69.959
1375.837875	69.948
1385.807763	69.938
1395.849898	69.927
1405.964802	69.916
1416.153002	69.906
1426.415031	69.895
1436.751422	69.885
1447.162715	69.874
1457.649452	69.864
1468.212181	69.854
1478.851452	69.843
1489.567819	69.833
1500.361842	69.823
1511.234082	69.812
1522.185107	69.802
1533.215488	69.791
1544.325799	69.781
1555.516621	69.770
1566.788535	69.760
1578.142131	69.750
1589.577999	69.739
1601.096737	69.729
1612.698944	69.718
1624.385225	69.708
1636.156190	69.697
1648.012452	69.687
1659.954630	69.676
1671.983345	69.666
1684.099226	69.655
1696.302903	69.645
1708.595013	69.635
1720.976197	69.624
1733.447100	69.614
1746.008372	69.604
1758.660669	69.593
1771.404649	69.582
1784.240977	69.572
1797.170323	69.561
1810.193360	69.551
1823.310767	69.540
1836.523229	69.530
1849.831433	69.520
1863.236074	69.509
1876.737851	69.499
1890.337467	69.489
1904.035631	69.478
1917.833058	69.468
1931.730467	69.457
1945.728583	69.447
1959.828134	69.436
1974.029857	69.426
1988.334491	69.416
2002.742782	69.405
2017.255482	69.395
2031.873347	69.384
2046.597138	69.374
2061.427625	69.363
2076.365579	69.353
2091.411780	69.342
2106.567012	69.332
2121.832065	69.321
2137.207735	69.311
2152.694823	69.301
2168.294137	69.290
2184.006490	69.280
2199.832702	69.269
2215.773596	69.259
2231.830005	69.248
2248.002765	69.238
2264.292720	69.228
2280.700718	69.217
2297.227616	69.207
2313.874274	69.197
2330.641561	69.186
2347.530351	69.176
2364.541523	69.165
2381.675966	69.155
2398.934572	69.144
2416.318240	69.134
2433.827878	69.124
2451.464399	69.113
2469.228720	69.103
2487.121769	69.092
2505.144479	69.082
2523.297789	69.071
2541.582644	69.061
2560.000000	69.051
2578.550815	69.041
2597.236057	69.030
2616.056701	69.020
2635.013726	69.009
2654.108121	68.999
2673.340883	68.988
2692.713013	68.978
2712.225522	68.967
2731.879426	68.956
2751.675750	68.946
2771.615527	68.936
2791.699796	68.926
2811.929603	68.915
2832.306004	68.905
2852.830061	68.894
2873.502844	68.884
2894.325430	68.873
2915.298905	68.863
2936.424363	68.853
2957.702904	68.842
2979.135638	68.832
3000.723683	68.821
3022.468164	68.811
3044.370214	68.801
3066.430976	68.790
3088.651599	68.780
3111.033242	68.769
3133.577071	68.759
3156.284262	68.749
3179.155999	68.738
3202.193474	68.728
3225.397888	68.717
3248.770450	68.707
3272.312380	68.696
3296.024905	68.686
3319.909260	68.676
3343.966691	68.665
3368.198452	68.655
3392.605806	68.645
3417.190027	68.634
3441.952394	68.623
3466.894200	68.613
3492.016745	68.602
3517.321337	68.592
3542.809298	68.581
3568.481954	68.571
3594.340646	68.561
3620.386720	68.550
3646.621534	68.540
