* Generated by rew_pipeline.py (source UUID 7d856d07-f568-4c89-a086-d78dd62d4f33, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:01
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6 B = FRX-trimmed.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
118.286133 77.139 -106.0312
118.469238 76.910 -172.3202
118.652344 76.684 121.6515
118.835449 76.475 55.9514
119.018555 76.307 -9.4730
119.201660 76.193 -74.8202
119.384766 76.119 -140.3040
119.567871 76.058 154.0122
119.750977 75.991 88.2400
119.934082 75.928 22.5340
120.117188 75.896 -43.0698
120.300293 75.919 -108.7047
120.483398 75.993 -174.5738
120.666504 76.093 119.1963
120.849609 76.186 52.6136
121.032715 76.253 -14.2264
121.215820 76.284 -81.2200
121.398926 76.282 -148.3055
121.582031 76.251 144.5276
121.765137 76.191 77.2563
121.948242 76.100 9.8549
122.131348 75.966 -57.6665
122.314453 75.779 -125.2360
122.497559 75.534 167.2733
122.680664 75.237 99.9968
122.863770 74.901 33.0185
123.046875 74.538 -33.6533
123.229980 74.153 -100.0441
123.413086 73.743 -166.1397
123.596191 73.309 128.1432
123.779297 72.864 62.9006
123.962402 72.434 -1.8467
124.145508 72.036 -66.1675
124.328613 71.676 -130.1260
124.511719 71.356 166.3083
124.694824 71.099 103.2000
124.877930 70.946 40.4648
125.061035 70.923 -22.2099
125.244141 71.020 -85.1918
125.427246 71.198 -148.6622
125.610352 71.428 147.3985
125.793457 71.701 83.0252
125.976562 72.010 18.1494
126.159668 72.325 -47.3097
126.342773 72.603 -113.2757
126.525879 72.814 -179.4784
126.708984 72.963 114.4013
126.892090 73.087 48.5243
127.075195 73.225 -17.2136
127.258301 73.390 -83.0808
127.441406 73.561 -149.2808
127.624512 73.706 144.1898
127.807617 73.817 77.4870
127.990723 73.905 10.7627
128.173828 73.995 -55.9506
128.356934 74.102 -122.7352
128.540039 74.219 170.3085
128.723145 74.327 103.1520
128.906250 74.407 35.8520
129.089355 74.449 -31.4962
129.272461 74.452 -98.8118
129.455566 74.422 -166.0533
129.638672 74.364 126.7840
129.821777 74.285 59.6821
130.004883 74.190 -7.3860
130.187988 74.081 -74.4464
130.371094 73.957 -141.5193
130.554199 73.813 151.3905
130.737305 73.641 84.3085
130.920410 73.431 17.3109
131.103516 73.179 -49.4693
131.286621 72.896 -115.8796
131.469727 72.611 178.1615
131.652832 72.357 112.5708
131.835938 72.152 47.1084
132.019043 71.980 -18.4666
132.202148 71.806 -84.2079
132.385254 71.603 -149.9476
132.568359 71.379 144.5515
132.751465 71.167 79.3909
132.934570 70.995 14.4614
133.117676 70.861 -50.4165
133.300781 70.745 -115.2916
133.483887 70.637 179.9391
133.666992 70.558 115.3429
133.850098 70.532 50.7777
134.033203 70.558 -14.0443
134.216309 70.599 -79.3051
134.399414 70.614 -144.9314
134.582520 70.590 149.3068
134.765625 70.541 83.5953
134.948730 70.488 17.9770
135.131836 70.440 -47.5737
135.314941 70.390 -113.0281
135.498047 70.342 -178.3027
135.681152 70.308 116.6275
135.864258 70.293 51.6706
136.047363 70.283 -13.2717
136.230469 70.257 -78.1576
136.413574 70.219 -142.8402
136.596680 70.201 152.7136
136.779785 70.234 88.2781
136.962891 70.307 23.5396
137.145996 70.375 -41.5660
137.329102 70.410 -106.7623
137.512207 70.441 -171.7186
137.695312 70.529 123.5719
137.878418 70.701 58.7374
138.061523 70.916 -6.5709
138.244629 71.103 -72.2924
138.427734 71.235 -138.0371
138.610840 71.345 156.5040
138.793945 71.488 91.2444
138.977051 71.673 25.8187
139.160156 71.855 -39.9819
139.343262 71.989 -105.9807
139.526367 72.081 -171.8411
139.709473 72.182 122.5290
139.892578 72.329 56.8339
140.075684 72.498 -9.2988
140.258789 72.628 -75.9050
140.441895 72.690 -142.6553
140.625000 72.719 150.7953
140.808105 72.781 84.4438
140.991211 72.912 17.9362
141.174316 73.081 -49.0283
141.357422 73.232 -116.3562
141.540527 73.345 176.3373
141.723633 73.453 109.3336
141.906738 73.596 42.5341
142.089844 73.764 -24.4063
142.272949 73.899 -91.6701
142.456055 73.941 -159.0620
142.639160 73.889 133.8049
142.822266 73.796 67.1328
143.005371 73.726 0.7131
143.188477 73.691 -65.8882
143.371582 73.644 -132.8881
143.554688 73.540 159.9196
143.737793 73.380 92.9461
143.920898 73.208 26.4316
144.104004 73.066 -39.7315
144.287109 72.949 -105.7976
144.470215 72.819 -171.8224
144.653320 72.657 122.3985
144.836426 72.492 57.0366
145.019531 72.376 -8.0713
145.202637 72.315 -73.3417
145.385742 72.262 -139.0186
145.568848 72.166 155.0871
145.751953 72.028 89.4005
145.935059 71.906 24.1592
146.118164 71.860 -40.8293
146.301270 71.893 -105.9857
146.484375 71.955 -171.5320
146.667480 71.995 122.6533
146.850586 72.006 56.8182
147.033691 72.006 -8.9180
147.216797 72.010 -74.5973
147.399902 72.014 -140.2704
147.583008 72.010 154.1083
147.766113 72.005 88.6115
