* Generated by rew_pipeline.py (source UUID 633417b2-a8a9-4810-837e-e85a53922a2f, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6
* Dated: 2026-Sep-12 16:19:02
* Note: ; Vector average of L.filtered.clean-fdw6, R.filtered.clean-fdw6
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
87.524414 76.494 -161.6582
87.707520 76.456 131.3384
87.890625 76.416 64.1777
88.073730 76.354 -3.1012
88.256836 76.262 -70.3902
88.439941 76.172 -137.5603
88.623047 76.115 155.1136
88.806152 76.068 87.2998
88.989258 75.963 18.7949
89.172363 75.717 -50.0709
89.355469 75.320 -118.7092
89.538574 74.823 173.4300
89.721680 74.334 106.3993
89.904785 73.899 39.6923
90.087891 73.472 -27.1013
90.270996 72.942 -93.7505
90.454102 72.288 -159.1714
90.637207 71.653 137.5520
90.820312 71.303 76.1548
91.003418 71.338 14.5340
91.186523 71.547 -48.8668
91.369629 71.650 -113.9422
91.552734 71.530 -179.3443
91.735840 71.267 115.9260
91.918945 71.010 52.1154
92.102051 70.862 -11.5499
92.285156 70.766 -75.6968
92.468262 70.643 -140.2871
92.651367 70.457 155.3390
92.834473 70.303 91.6428
93.017578 70.270 28.4570
93.200684 70.409 -34.8335
93.383789 70.655 -98.7745
93.566895 70.945 -163.3931
93.750000 71.223 131.4433
93.933105 71.488 66.0172
94.116211 71.741 0.3645
94.299316 71.997 -65.4318
94.482422 72.255 -131.5505
94.665527 72.496 161.9798
94.848633 72.686 95.0748
95.031738 72.784 27.9945
95.214844 72.790 -38.9915
95.397949 72.730 -105.5682
95.581055 72.665 -171.7615
95.764160 72.614 122.2460
95.947266 72.587 56.2954
96.130371 72.567 -9.5685
96.313477 72.600 -75.2432
96.496582 72.722 -140.9987
96.679688 72.938 152.6683
96.862793 73.150 85.3170
97.045898 73.250 17.2138
97.229004 73.170 -51.0108
97.412109 72.943 -118.5139
97.595215 72.677 174.9725
97.778320 72.467 109.1391
97.961426 72.321 43.2092
98.144531 72.134 -23.0187
98.327637 71.844 -89.0794
98.510742 71.483 -154.1880
98.693848 71.204 141.8229
98.876953 71.104 78.1488
99.060059 71.143 13.7718
99.243164 71.161 -51.5410
99.426270 71.081 -117.0881
99.609375 70.934 177.8072
99.792480 70.836 113.3242
99.975586 70.837 48.8258
100.158691 70.883 -16.0988
100.341797 70.882 -81.3768
100.524902 70.812 -146.2962
100.708008 70.746 149.4837
100.891113 70.769 85.8391
101.074219 70.903 22.0805
101.257324 71.076 -42.0753
101.440430 71.240 -106.5195
101.623535 71.390 -170.8775
101.806641 71.588 124.8927
101.989746 71.858 60.5606
102.172852 72.202 -4.1420
102.355957 72.581 -69.2841
102.539062 72.994 -134.7732
102.722168 73.430 159.3530
102.905273 73.883 93.0381
103.088379 74.313 26.1808
103.271484 74.688 -41.0606
103.454590 74.991 -108.5449
103.637695 75.232 -176.0727
103.820801 75.428 116.3120
104.003906 75.579 48.5892
104.187012 75.683 -19.2944
104.370117 75.724 -87.2038
104.553223 75.719 -155.0054
104.736328 75.684 137.3924
104.919434 75.649 69.9344
105.102539 75.608 2.4831
105.285645 75.553 -65.0013
105.468750 75.458 -132.4790
105.651855 75.324 160.2379
105.834961 75.162 93.2161
106.018066 74.991 26.5189
106.201172 74.820 -39.9578
106.384277 74.646 -106.1949
106.567383 74.468 -172.2232
106.750488 74.287 122.0361
106.933594 74.116 56.5411
107.116699 73.952 -8.7104
107.299805 73.810 -73.7675
107.482910 73.689 -138.6323
107.666016 73.612 156.6412
107.849121 73.581 91.9283
108.032227 73.600 27.1239
108.215332 73.646 -37.8429
108.398438 73.717 -102.8819
108.581543 73.808 -167.9795
108.764648 73.928 126.8962
108.947754 74.069 61.6155
109.130859 74.216 -3.7920
109.313965 74.355 -69.3104
109.497070 74.490 -134.7833
109.680176 74.646 159.7460
109.863281 74.832 94.2005
110.046387 75.050 28.3956
110.229492 75.273 -37.6766
110.412598 75.495 -103.9565
110.595703 75.714 -170.3529
110.778809 75.942 123.1070
110.961914 76.167 56.3050
