* Measurement data measured by REW V5.40 beta 133
* Source: /home/giacomo/DRC/DRC-120.green/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 12, 2026, 10:33:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.green/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
78.735345 -0.010 37.3179
79.101556 -0.010 37.4959
79.467767 -0.010 37.6740
79.833978 -0.010 37.8521
80.200189 -0.010 38.0303
80.566400 -0.010 38.2085
80.932611 -0.010 38.3868
81.298822 -0.010 38.5651
81.665032 -0.010 38.7436
82.031243 -0.010 38.9220
82.397454 -0.010 39.1006
82.763665 -0.010 39.2792
83.129876 -0.010 39.4578
83.496087 -0.010 39.6366
83.862298 -0.010 39.8154
84.228509 -0.010 39.9942
84.594720 -0.010 40.1731
84.960931 -0.010 40.3521
85.327142 -0.010 40.5311
85.693352 -0.010 40.7102
86.059563 -0.010 40.8894
86.425774 -0.010 41.0686
86.791985 -0.010 41.2479
87.158196 -0.010 41.4272
87.524407 -0.010 41.6066
87.890618 -0.010 41.7861
88.256829 -0.010 41.9656
88.623040 -0.010 42.1452
88.989251 -0.010 42.3249
89.355462 -0.010 42.5046
89.721672 -0.010 42.6844
90.087883 -0.010 42.8643
90.454094 -0.010 43.0442
90.820305 -0.010 43.2242
91.186516 -0.010 43.4043
91.552727 -0.010 43.5844
91.918938 -0.010 43.7646
92.285149 -0.010 43.9448
92.651360 -0.010 44.1251
93.017571 -0.010 44.3055
93.383781 -0.010 44.4860
93.749992 -0.010 44.6665
94.116203 -0.010 44.8471
94.482414 -0.010 45.0278
94.848625 -0.010 45.2085
95.214836 -0.010 45.3893
95.581047 -0.010 45.5701
95.947258 -0.010 45.7510
96.313469 -0.010 45.9320
96.679680 -0.010 46.1131
97.045891 -0.010 46.2942
97.412101 -0.010 46.4754
97.778312 -0.010 46.6567
98.144523 -0.010 46.8380
98.510734 -0.010 47.0194
98.876945 -0.010 47.2009
99.243156 -0.010 47.3824
99.609367 -0.010 47.5640
99.975578 -0.010 47.7457
100.341789 -0.010 47.9275
100.708000 -0.010 48.1093
101.074211 -0.010 48.2912
101.440421 -0.010 48.4731
101.806632 -0.010 48.6552
102.172843 -0.010 48.8373
102.539054 -0.010 49.0194
102.905265 -0.010 49.2017
103.271476 -0.010 49.3840
103.637687 -0.010 49.5664
104.003898 -0.010 49.7488
104.370109 -0.010 49.9313
104.736320 -0.010 50.1139
105.102531 -0.010 50.2966
105.468741 -0.010 50.4793
105.834952 -0.010 50.6622
106.201163 -0.010 50.8451
106.567374 -0.010 51.0280
106.933585 -0.010 51.2110
107.299796 -0.010 51.3941
107.666007 -0.010 51.5773
108.032218 -0.010 51.7606
108.398429 -0.010 51.9439
108.764640 -0.010 52.1273
109.130851 -0.010 52.3107
109.497061 -0.010 52.4943
109.863272 -0.010 52.6779
110.229483 -0.010 52.8616
110.595694 -0.010 53.0453
110.961905 -0.010 53.2291
111.328116 -0.010 53.4130
111.694327 -0.010 53.5970
112.060538 -0.010 53.7811
112.426749 -0.010 53.9652
112.792960 -0.010 54.1494
113.159171 -0.010 54.3337
113.525381 -0.010 54.5180
113.891592 -0.010 54.7024
114.257803 -0.010 54.8869
114.624014 -0.010 55.0715
114.990225 -0.010 55.2562
115.356436 -0.010 55.4409
115.722647 -0.010 55.6257
116.088858 -0.010 55.8106
116.455069 -0.010 55.9955
116.821280 -0.010 56.1805
117.187490 -0.010 56.3656
117.553701 -0.010 56.5508
117.919912 -0.010 56.7360
118.286123 -0.010 56.9214
118.652334 -0.010 57.1068
119.018545 -0.010 57.2922
119.384756 -0.010 57.4778
119.750967 -0.010 57.6634
120.117178 -0.010 57.8491
120.483389 -0.010 58.0349
120.849600 -0.010 58.2208
121.215810 -0.010 58.4067
121.582021 -0.010 58.5927
121.948232 -0.010 58.7788
122.314443 -0.010 58.9650
122.680654 -0.010 59.1512
123.046865 -0.010 59.3375
123.413076 -0.010 59.5239
123.779287 -0.010 59.7104
124.145498 -0.010 59.8969
124.511709 -0.010 60.0835
124.877920 -0.010 60.2702
125.244130 -0.010 60.4570
125.610341 -0.010 60.6439
125.976552 -0.010 60.8308
126.342763 -0.010 61.0178
126.708974 -0.010 61.2049
127.075185 -0.010 61.3920
127.441396 -0.010 61.5793
127.807607 -0.010 61.7666
128.173818 -0.010 61.9540
128.540029 -0.010 62.1415
128.906240 -0.010 62.3290
129.272450 -0.010 62.5166
129.638661 -0.010 62.7043
130.004872 -0.010 62.8921
130.371083 -0.010 63.0800
130.737294 -0.010 63.2679
131.103505 -0.010 63.4559
131.469716 -0.010 63.6440
131.835927 -0.010 63.8322
132.202138 -0.010 64.0205
132.568349 -0.010 64.2088
132.934560 -0.010 64.3972
