* Generated by rew_pipeline.py (source UUID 3345a9fc-2b9f-4cd3-b89a-36b93d3c0b7d, calibrated to its own SPL at 100 Hz)
* Measurement: R.nofdw.clean-fdw6
* Dated: 2026-Sep-12 16:19:00
* Note: ; Copy of R.0 10 sept 2026 Position MLP 4.18m from front wall 3.32m from RLand L speaker 1.20m speakers to front wall marker: green 2 screen panels prolongation - new setup DAC level -29dB MIC HEIGHT: 1.000m mic boom arm height: 1.040 -12dBFS OKTO -28dB DELAY -0.0108 ms (-3.7 mm, -0.15 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
105.834961 78.883 74.2157
106.201172 78.999 -57.0829
106.567383 78.958 170.0393
106.933594 79.201 36.8463
107.299805 79.512 -94.5481
107.666016 79.633 133.5257
108.032227 79.863 0.2804
108.398438 80.059 -132.4323
108.764648 80.250 94.8301
109.130859 80.398 -37.3022
109.497070 80.562 -168.9128
109.863281 80.961 59.4281
110.229492 81.553 -72.5386
110.595703 82.098 154.0661
110.961914 82.775 19.6050
111.328125 83.274 -116.6812
111.694336 83.482 107.4617
112.060547 83.656 -28.8868
112.426758 83.624 -163.7416
112.792969 83.662 60.1829
113.159180 83.537 -74.2944
113.525391 83.536 152.8757
113.891602 83.624 19.7463
114.257812 83.957 -114.0023
114.624023 84.187 111.1550
114.990234 84.441 -22.9055
115.356445 84.670 -158.2860
115.722656 84.785 65.6226
116.088867 84.794 -71.2586
116.455078 84.647 151.7917
116.821289 84.349 16.1110
117.187500 84.042 -119.4807
117.553711 83.706 105.3263
117.919922 83.288 -29.5541
118.286133 82.797 -163.8310
118.652344 82.307 63.1503
119.018555 81.930 -69.0986
119.384766 81.735 159.0965
119.750977 81.553 27.2521
120.117188 81.418 -105.4484
120.483398 81.496 122.1179
120.849609 81.695 -11.2489
121.215820 81.722 -145.8772
121.582031 81.616 78.8610
121.948242 81.437 -56.6671
122.314453 81.159 167.3537
122.680664 80.436 32.2870
123.046875 79.785 -102.5498
123.413086 78.883 124.2717
123.779297 77.949 -7.4921
124.145508 77.172 -136.9964
124.511719 76.270 94.4626
124.877930 75.918 -31.6525
125.244141 75.898 -158.6477
125.610352 76.259 73.9032
125.976562 76.745 -55.8612
126.342773 77.306 171.1935
126.708984 77.562 39.1386
127.075195 77.903 -93.4497
127.441406 77.964 134.4108
127.807617 78.234 -0.0287
128.173828 78.446 -133.9861
128.540039 78.498 92.2378
128.906250 78.660 -42.5052
129.272461 78.571 -178.6331
129.638672 78.516 47.0548
130.004883 78.247 -87.2316
130.371094 77.928 137.5371
130.737305 77.488 3.6391
131.103516 77.114 -131.4173
131.469727 76.336 96.4996
131.835938 75.904 -34.7494
132.202148 75.392 -167.4217
132.568359 75.046 61.7102
132.934570 74.482 -68.5490
133.300781 74.242 160.7993
133.666992 73.850 31.6476
134.033203 73.996 -99.1236
134.399414 73.928 130.9939
134.765625 73.704 -1.0199
135.131836 73.553 -132.9518
135.498047 73.496 95.2136
135.864258 73.412 -32.8027
136.230469 73.178 -164.8467
136.596680 73.140 66.7087
136.962891 73.183 -62.9308
137.329102 73.228 165.7144
137.695312 73.376 37.0671
138.061523 73.645 -93.6998
138.427734 73.805 134.5546
138.793945 74.146 2.8288
139.160156 74.512 -127.4904
139.526367 74.536 99.8228
139.892578 74.850 -31.2339
140.258789 75.019 -164.7182
140.625000 75.089 61.6655
140.991211 75.354 -70.8115
141.357422 75.456 154.5261
141.723633 75.692 19.6462
142.089844 76.020 -113.9276
142.456055 76.094 110.8725
142.822266 75.891 -22.6682
143.188477 75.859 -156.4518
143.554688 75.494 69.8401
143.920898 75.229 -64.5619
144.287109 74.945 163.1913
144.653320 74.581 31.4270
145.019531 74.246 -98.9582
145.385742 74.093 129.0440
145.751953 73.756 -2.3399
146.118164 73.781 -133.0836
146.484375 73.650 96.9832
146.850586 73.554 -35.2762
147.216797 73.717 -168.1481
147.583008 73.665 61.3480
147.949219 73.548 -68.6195
148.315430 73.570 158.1132
148.681641 73.543 29.0088
149.047852 73.891 -103.9343
149.414062 73.883 122.9578
149.780273 74.025 -8.3151
150.146484 74.217 -141.6501
150.512695 74.158 85.4812
150.878906 74.011 -46.0433
151.245117 74.038 -178.8075
151.611328 74.005 48.5927
151.977539 74.008 -84.6699
152.343750 73.877 144.3335
152.709961 73.969 12.0120
153.076172 73.969 -118.4101
153.442383 74.298 108.4758
153.808594 74.165 -21.8409
154.174805 74.328 -155.1831
154.541016 74.590 73.4182
154.907227 74.839 -59.8458
155.273438 74.781 167.4746
155.639648 74.890 35.5740
156.005859 75.324 -98.1873
156.372070 75.560 130.0264
156.738281 75.706 -4.1012
157.104492 75.982 -136.4231
157.470703 75.963 89.5467
157.836914 76.020 -46.4321
158.203125 76.383 178.1278
158.569336 76.666 44.1722
158.935547 76.580 -91.4448
159.301758 76.578 133.8139
159.667969 76.381 -1.6177
160.034180 76.111 -136.9492
160.400391 75.908 87.1398
160.766602 75.761 -47.3807
161.132812 75.305 179.1643
161.499023 74.932 45.1738
161.865234 74.823 -89.1084
162.231445 74.493 136.1734
162.597656 74.248 1.6069
162.963867 73.905 -130.1492
163.330078 73.532 95.4286
163.696289 72.834 -37.6184
164.062500 72.733 -173.1352
164.428711 72.100 54.1572
164.794922 71.641 -77.9847
165.161133 70.896 149.6672
165.527344 70.382 15.9011
165.893555 70.176 -117.2789
166.259766 69.699 112.6630
166.625977 69.116 -18.7116
166.992188 68.311 -147.2006
167.358398 67.663 82.1984
167.724609 66.870 -42.0428
168.090820 66.500 -172.0685
168.457031 67.596 65.8385
168.823242 68.094 -63.2189
169.189453 68.524 166.1564
169.555664 69.098 33.5081
169.921875 69.988 -99.1948
170.288086 70.514 128.3608
170.654297 70.404 -7.1212
171.020508 71.050 -144.6487
171.386719 71.391 82.2455
171.752930 71.775 -50.5172
172.119141 71.569 173.8852
172.485352 71.694 39.9566
172.851562 71.897 -97.5741
173.217773 72.274 127.8249
173.583984 72.606 -7.8963
173.950195 72.558 -142.3336
174.316406 72.301 79.8784
174.682617 72.351 -56.3583
175.048828 72.342 170.1303
175.415039 72.231 31.6271
175.781250 72.234 -102.8118
176.147461 72.031 119.8929
176.513672 72.233 -14.6857
176.879883 71.986 -149.8098
177.246094 71.592 73.1644
177.612305 71.348 -65.6436
177.978516 71.664 157.7542
178.344727 71.955 25.1911
178.710938 71.373 -111.1872
179.077148 70.967 112.6277
179.443359 71.423 -25.8593
179.809570 71.178 -162.7415
180.175781 71.003 63.0051
180.541992 70.652 -74.0583
180.908203 70.792 151.5119
181.274414 70.492 15.3262
181.640625 70.598 -122.3358
