* Generated by rew_pipeline.py (source UUID 7e7ffd0f-409a-4ea4-9b14-d7aa3d850d0c, calibrated to its own SPL at 100 Hz)
* Measurement: R.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:17
* Note: ; Trace Arithmetic A times B A = R.nofdw.clean-fdw6-peq B = FRX-trimmed.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
103.454590 73.564 -106.6870
103.637695 73.752 -173.6042
103.820801 73.944 119.4174
104.003906 74.121 52.1660
104.187012 74.241 -15.2484
104.370117 74.293 -82.4589
104.553223 74.317 -149.1779
104.736328 74.372 144.5092
104.919434 74.475 78.1923
105.102539 74.582 11.5214
105.285645 74.631 -55.4860
105.468750 74.594 -122.5093
105.651855 74.495 170.7811
105.834961 74.391 104.4759
106.018066 74.324 38.4125
106.201172 74.297 -27.6134
106.384277 74.295 -93.6519
106.567383 74.306 -159.6189
106.750488 74.333 134.5491
106.933594 74.381 68.8125
107.116699 74.442 3.0931
107.299805 74.502 -62.6342
107.482910 74.558 -128.3527
107.666016 74.617 165.9144
107.849121 74.684 100.0799
108.032227 74.748 34.0793
108.215332 74.798 -32.0404
108.398438 74.831 -98.1428
108.581543 74.860 -164.1218
108.764648 74.898 130.0208
108.947754 74.945 64.2296
109.130859 74.990 -1.4844
109.313965 75.032 -67.0163
109.497070 75.095 -132.2927
109.680176 75.211 162.5819
109.863281 75.395 97.3462
110.046387 75.626 31.7823
110.229492 75.876 -34.1290
110.412598 76.132 -100.2719
110.595703 76.402 -166.5834
110.778809 76.691 126.8469
110.961914 76.983 59.8703
111.145020 77.240 -7.5467
111.328125 77.427 -75.2538
111.511230 77.538 -143.0071
111.694336 77.593 149.3793
111.877441 77.622 81.9419
112.060547 77.644 14.5966
112.243652 77.660 -52.7475
112.426758 77.660 -120.0984
112.609863 77.636 172.6136
112.792969 77.589 105.4775
112.976074 77.525 38.5645
113.159180 77.452 -28.0659
113.342285 77.388 -94.3669
113.525391 77.360 -160.3614
113.708496 77.392 133.7912
113.891602 77.491 67.8277
114.074707 77.629 1.5403
114.257812 77.769 -65.0809
114.440918 77.884 -131.8663
114.624023 77.979 161.3737
114.807129 78.076 94.6877
114.990234 78.190 27.9515
115.173340 78.315 -39.0124
115.356445 78.426 -106.2873
115.539551 78.505 -173.8274
115.722656 78.547 118.4631
115.905762 78.556 50.6429
116.088867 78.536 -17.2720
116.271973 78.479 -85.2430
116.455078 78.380 -153.1582
116.638184 78.242 139.1334
116.821289 78.087 71.7181
117.004395 77.935 4.5411
117.187500 77.794 -62.5560
117.370605 77.649 -129.7016
117.553711 77.478 163.1102
117.736816 77.273 95.9973
117.919922 77.045 29.0800
118.103027 76.811 -37.6064
118.286133 76.582 -104.0926
118.469238 76.355 -170.3841
118.652344 76.131 123.5849
118.835449 75.924 57.8822
119.018555 75.757 -7.5447
119.201660 75.645 -72.8946
119.384766 75.573 -138.3811
119.567871 75.513 155.9323
119.750977 75.448 90.1574
119.934082 75.386 24.4487
120.117188 75.357 -41.1578
120.300293 75.381 -106.7955
120.483398 75.457 -172.6675
120.666504 75.558 121.0998
120.849609 75.653 54.5143
121.032715 75.721 -12.3284
121.215820 75.754 -79.3249
121.398926 75.754 -146.4132
121.582031 75.724 146.4171
121.765137 75.666 79.1429
121.948242 75.576 11.7386
122.131348 75.444 -55.7856
122.314453 75.258 -123.3580
122.497559 75.015 169.1485
122.680664 74.719 101.8691
122.863770 74.384 34.8879
123.046875 74.023 -31.7868
123.229980 73.640 -98.1804
123.413086 73.231 -164.2789
123.596191 72.798 130.0011
123.779297 72.355 64.7556
123.962402 71.926 0.0055
124.145508 71.529 -64.3182
124.328613 71.171 -128.2796
124.511719 70.852 168.1519
124.694824 70.597 105.0407
124.877930 70.444 42.3027
125.061035 70.423 -20.3748
125.244141 70.522 -83.3597
125.427246 70.701 -146.8329
125.610352 70.932 149.2251
125.793457 71.206 84.8490
125.976562 71.516 19.9704
126.159668 71.833 -45.4917
126.342773 72.112 -111.4604
126.525879 72.324 -177.6658
126.708984 72.474 116.2111
126.892090 72.599 50.3313
127.075195 72.739 -15.4093
127.258301 72.905 -81.2793
127.441406 73.077 -147.4820
127.624512 73.224 145.9859
127.807617 73.335 79.2805
127.990723 73.424 12.5534
128.173828 73.516 -54.1625
128.356934 73.623 -120.9497
128.540039 73.741 172.0914
128.723145 73.850 104.9323
128.906250 73.932 37.6296
129.089355 73.975 -29.7212
129.272461 73.979 -97.0392
129.455566 73.950 -164.2832
129.638672 73.893 128.5515
129.821777 73.815 61.4471
130.004883 73.722 -5.6234
130.187988 73.613 -72.6864
130.371094 73.490 -139.7617
130.554199 73.348 153.1458
130.737305 73.176 86.0614
130.920410 72.967 19.0614
131.103516 72.716 -47.7211
131.286621 72.434 -114.1337
131.469727 72.150 179.9050
131.652832 71.897 114.3121
131.835938 71.693 48.8473
132.019043 71.522 -16.7298
132.202148 71.349 -82.4733
132.385254 71.147 -148.2152
132.568359 70.924 146.2818
132.751465 70.713 81.1191
132.934570 70.541 16.1875
133.117676 70.409 -48.6925
133.300781 70.293 -113.5697
133.483887 70.187 -178.3409
133.666992 70.108 117.0610
133.850098 70.083 52.4938
134.033203 70.110 -12.3302
134.216309 70.152 -77.5928
134.399414 70.168 -143.2209
134.582520 70.144 151.0154
134.765625 70.096 85.3021
134.948730 70.044 19.6820
135.131836 69.996 -45.8702
135.314941 69.948 -111.3264
135.498047 69.901 -176.6026
135.681152 69.867 118.3259
135.864258 69.853 53.3674
136.047363 69.844 -11.5763
136.230469 69.819 -76.4638
136.413574 69.781 -141.1479
136.596680 69.764 154.4044
136.779785 69.798 89.9675
136.962891 69.872 25.2276
137.145996 69.940 -39.8791
137.329102 69.976 -105.0769
137.512207 70.008 -170.0343
137.695312 70.096 125.2550
137.878418 70.269 60.4193
138.061523 70.485 -4.8901
138.244629 70.673 -70.6127
138.427734 70.805 -136.3585
138.610840 70.916 158.1816
138.793945 71.060 92.9212
138.977051 71.246 27.4946
139.160156 71.428 -38.3069
139.343262 71.563 -104.3065
139.526367 71.655 -170.1677
139.709473 71.757 124.2017
139.892578 71.905 58.5060
140.075684 72.074 -7.6273
140.258789 72.205 -74.2341
140.441895 72.268 -140.9849
140.625000 72.297 152.4654
140.808105 72.360 86.1134
140.991211 72.492 19.6055
141.174316 72.661 -47.3593
141.357422 72.812 -114.6873
141.540527 72.927 178.0060
141.723633 73.035 111.0022
141.906738 73.178 44.2027
142.089844 73.348 -22.7376
142.272949 73.483 -90.0014
142.456055 73.526 -157.3931
142.639160 73.474 135.4741
142.822266 73.382 68.8022
143.005371 73.312 2.3829
143.188477 73.277 -64.2180
143.371582 73.232 -131.2173
143.554688 73.128 161.5909
143.737793 72.968 94.6181
143.920898 72.797 28.1044
144.104004 72.655 -38.0578
144.287109 72.539 -104.1231
144.470215 72.410 -170.1469
144.653320 72.248 124.0751
144.836426 72.084 58.7144
145.019531 71.968 -6.3923
145.202637 71.908 -71.6613
145.385742 71.855 -137.3367
145.568848 71.759 156.7705
145.751953 71.622 91.0856
145.935059 71.501 25.8461
146.118164 71.455 -39.1406
146.301270 71.489 -104.2949
146.484375 71.551 -169.8393
146.667480 71.592 124.3483
146.850586 71.603 58.5155
147.033691 71.604 -7.2183
147.216797 71.608 -72.8950
147.399902 71.612 -138.5654
147.583008 71.609 155.8162
147.766113 71.604 90.3224
147.949219 71.611 24.9350
148.132324 71.631 -40.4378
148.315430 71.654 -105.8362
148.498535 71.684 -171.2180
148.681641 71.741 123.3999
148.864746 71.843 57.8245
149.047852 71.975 -8.1818
149.230957 72.088 -74.6167
149.414062 72.152 -141.1517
149.597168 72.187 152.6145
149.780273 72.251 86.7716
149.963379 72.376 20.9716
150.146484 72.521 -45.2118
150.329590 72.600 -111.8016
150.512695 72.568 -178.3655
150.695801 72.463 115.5840
150.878906 72.385 50.0856
151.062012 72.403 -15.4027
151.245117 72.487 -81.4892
151.428223 72.551 -148.2265
151.611328 72.543 144.8963
151.794434 72.492 78.4514
151.977539 72.469 12.5794
152.160645 72.512 -53.0599
152.343750 72.583 -118.8247
152.526855 72.622 175.3255
152.709961 72.621 109.7012
152.893066 72.636 44.4122
153.076172 72.720 -20.8846
153.259277 72.854 -86.6651
153.442383 72.969 -152.9965
153.625488 73.020 140.5601
153.808594 73.035 74.5361
153.991699 73.093 9.0483
154.174805 73.241 -56.3263
154.357910 73.443 -122.1125
154.541016 73.618 171.5651
154.724121 73.717 104.9920
154.907227 73.757 38.5095
155.090332 73.789 -27.7793
155.273438 73.853 -94.0035
155.456543 73.957 -160.2879
155.639648 74.094 133.3990
155.822754 74.267 67.1395
156.005859 74.476 0.8940
156.188965 74.698 -65.4744
156.372070 74.889 -132.0092
156.555176 75.017 161.4281
156.738281 75.093 95.0068
156.921387 75.163 28.6781
157.104492 75.260 -37.8799
157.287598 75.378 -104.9865
157.470703 75.480 -172.6389
157.653809 75.554 119.4985
157.836914 75.628 51.8030
158.020020 75.751 -15.6287
158.203125 75.933 -83.0223
158.386230 76.131 -150.6253
158.569336 76.276 141.5799
158.752441 76.336 73.8370
158.935547 76.327 6.3407
159.118652 76.298 -60.9902
159.301758 76.271 -128.4628
159.484863 76.231 163.6983
159.667969 76.152 95.5833
159.851074 76.033 27.5089
160.034180 75.912 -40.2822
160.217285 75.825 -107.8384
160.400391 75.765 -175.3997
160.583496 75.684 116.9170
160.766602 75.538 49.2827
160.949707 75.329 -17.9987
161.132812 75.112 -84.8103
161.315918 74.948 -151.4085
161.499023 74.846 141.7680
161.682129 74.767 74.4983
161.865234 74.664 6.9416
162.048340 74.527 -60.5603
162.231445 74.376 -127.7820
162.414551 74.232 165.2560
162.597656 74.090 98.4089
162.780762 73.928 31.6048
162.963867 73.737 -35.1220
163.146973 73.531 -101.7638
163.330078 73.329 -168.4344
163.513184 73.134 124.7130
163.696289 72.929 57.6559
163.879395 72.703 -9.4551
164.062500 72.461 -76.4360
164.245605 72.219 -143.2318
164.428711 71.976 150.0881
164.611816 71.712 83.4872
164.794922 71.416 17.0550
164.978027 71.110 -49.1113
165.161133 70.834 -115.1111
165.344238 70.609 178.7570
165.527344 70.408 112.2864
165.710449 70.187 45.6286
165.893555 69.933 -20.7993
166.076660 69.682 -86.6925
166.259766 69.468 -152.1441
