* Generated by rew_pipeline.py (source UUID defe8eaa-5d6a-4a29-861d-0afe6da83fd1, calibrated to its own SPL at 100 Hz)
* Measurement: LR.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:18
* Note: ; Vector average of L.filtered.clean-fdw6-peq, R.filtered.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
49.438477 67.607 -114.0311
49.621582 67.749 -176.6447
49.804688 68.104 120.7693
49.987793 68.771 56.5210
50.170898 69.646 -10.5361
50.354004 70.467 -80.4502
50.537109 71.076 -151.7027
50.720215 71.430 137.0465
50.903320 71.586 67.1409
51.086426 71.706 -1.2162
51.269531 71.901 -68.6362
51.452637 72.193 -136.4732
51.635742 72.426 154.5403
51.818848 72.489 84.6320
52.001953 72.319 14.6516
52.185059 72.025 -54.3363
52.368164 71.772 -122.0214
52.551270 71.740 171.1381
52.734375 71.926 103.7772
52.917480 72.178 35.3752
53.100586 72.332 -33.9596
53.283691 72.308 -103.3172
53.466797 72.155 -172.1497
53.649902 71.956 119.8348
53.833008 71.825 52.1971
54.016113 71.758 -15.6513
54.199219 71.731 -84.1035
54.382324 71.653 -153.1778
54.565430 71.498 137.5136
54.748535 71.234 68.2604
54.931641 70.894 -0.4356
55.114746 70.525 -68.5545
55.297852 70.201 -136.0892
55.480957 69.965 156.2065
55.664062 69.763 87.8904
55.847168 69.504 18.6945
56.030273 69.076 -50.6133
56.213379 68.527 -119.0223
56.396484 68.003 174.2865
56.579590 67.777 108.6669
56.762695 67.854 42.0816
56.945801 68.014 -26.6764
57.128906 67.936 -97.1808
57.312012 67.524 -167.4602
57.495117 66.897 124.2327
57.678223 66.451 58.8349
57.861328 66.542 -6.0824
58.044434 67.027 -73.4245
58.227539 67.498 -144.1087
58.410645 67.664 143.5545
58.593750 67.543 71.3503
58.776855 67.283 0.6623
58.959961 67.185 -68.5093
59.143066 67.355 -137.5734
59.326172 67.718 152.3302
59.509277 68.049 81.0431
59.692383 68.262 9.6880
59.875488 68.385 -61.0117
60.058594 68.541 -130.5397
60.241699 68.855 160.4277
60.424805 69.335 91.2587
60.607910 69.950 21.3449
60.791016 70.618 -49.2516
60.974121 71.329 -120.3746
61.157227 72.037 168.1557
61.340332 72.740 96.5590
61.523438 73.404 24.9141
61.706543 74.039 -46.5933
61.889648 74.653 -118.1342
62.072754 75.247 170.1866
62.255859 75.807 98.0841
62.438965 76.294 25.6204
62.622070 76.696 -47.0580
62.805176 77.007 -119.6433
62.988281 77.267 168.0314
63.171387 77.486 95.9101
63.354492 77.670 23.8693
63.537598 77.775 -48.2067
63.720703 77.770 -120.0651
63.903809 77.661 168.6235
64.086914 77.512 98.2650
64.270020 77.431 28.7427
64.453125 77.478 -40.4553
64.636230 77.630 -110.0326
64.819336 77.775 179.8247
65.002441 77.830 109.4932
65.185547 77.765 39.5999
65.368652 77.653 -29.3783
65.551758 77.586 -97.5942
65.734863 77.630 -165.6465
65.917969 77.756 125.6831
66.101074 77.886 56.1649
66.284180 77.956 -14.0940
66.467285 77.941 -84.6736
66.650391 77.857 -155.3174
66.833496 77.713 134.1655
67.016602 77.523 63.8009
67.199707 77.266 -6.3923
67.382812 76.939 -76.3617
67.565918 76.518 -146.0719
67.749023 76.003 144.6424
67.932129 75.387 75.9303
68.115234 74.703 8.1766
68.298340 74.019 -58.4382
68.481445 73.432 -123.8760
68.664551 73.024 171.2325
68.847656 72.773 106.2471
69.030762 72.608 40.7020
69.213867 72.438 -25.2308
69.396973 72.258 -91.3532
69.580078 72.065 -157.5746
69.763184 71.880 135.9616
69.946289 71.660 69.1994
70.129395 71.402 2.4127
70.312500 71.119 -64.1256
70.495605 70.884 -130.2718
70.678711 70.715 163.5096
70.861816 70.565 96.9526
71.044922 70.329 30.0113
71.228027 69.956 -36.5917
71.411133 69.496 -102.4084
71.594238 69.055 -167.3378
71.777344 68.706 127.7051
71.960449 68.353 62.1165
72.143555 67.880 -3.9894
72.326660 67.221 -69.4663
72.509766 66.533 -133.3020
72.692871 66.007 164.4052
72.875977 65.759 102.2570
73.059082 65.578 39.1817
73.242188 65.286 -24.1419
73.425293 64.835 -86.4077
73.608398 64.444 -146.7722
73.791504 64.263 153.6716
73.974609 64.255 93.8818
74.157715 64.240 33.9309
74.340820 64.305 -24.6324
74.523926 64.744 -82.0816
74.707031 65.723 -140.5345
74.890137 66.968 157.8431
75.073242 68.160 93.6097
75.256348 69.173 27.9178
75.439453 70.039 -38.1018
75.622559 70.841 -104.3383
75.805664 71.607 -170.8654
75.988770 72.334 122.0572
76.171875 72.986 54.5757
76.354980 73.578 -13.1567
76.538086 74.118 -80.9964
76.721191 74.634 -148.9480
76.904297 75.112 142.9415
77.087402 75.545 74.7604
77.270508 75.917 6.6128
77.453613 76.250 -61.3204
77.636719 76.564 -129.1116
77.819824 76.878 163.1541
78.002930 77.194 95.2464
78.186035 77.500 27.1271
78.369141 77.789 -41.2708
78.552246 78.049 -109.8810
78.735352 78.280 -178.6839
78.918457 78.463 112.4068
79.101562 78.594 43.5123
79.284668 78.669 -25.2018
79.467773 78.711 -93.5969
79.650879 78.743 -161.7210
79.833984 78.786 130.3067
80.017090 78.836 62.2546
80.200195 78.873 -5.9237
80.383301 78.877 -74.2006
80.566406 78.847 -142.3577
80.749512 78.808 149.6771
80.932617 78.780 81.8941
81.115723 78.777 14.1166
81.298828 78.779 -53.7808
81.481934 78.765 -121.8367
81.665039 78.709 170.0470
81.848145 78.619 102.0240
82.031250 78.505 34.1453
82.214355 78.389 -33.5814
82.397461 78.271 -101.2736
82.580566 78.147 -168.9315
82.763672 78.003 123.4404
82.946777 77.840 55.9877
83.129883 77.673 -11.2839
83.312988 77.515 -78.4050
83.496094 77.376 -145.5916
83.679199 77.229 147.0236
83.862305 77.046 79.4115
84.045410 76.794 11.7507
84.228516 76.478 -55.6884
84.411621 76.112 -122.7025
84.594727 75.733 170.8284
84.777832 75.352 104.8631
84.960938 74.985 39.4826
85.144043 74.645 -25.2712
85.327148 74.383 -89.3026
85.510254 74.258 -152.9551
85.693359 74.291 143.2722
85.876465 74.442 78.7948
86.059570 74.635 13.5418
86.242676 74.830 -52.3744
86.425781 75.008 -118.7051
86.608887 75.181 174.5748
86.791992 75.326 107.4834
86.975098 75.425 40.0916
87.158203 75.451 -27.3733
87.341309 75.427 -94.6523
87.524414 75.382 -161.7137
87.707520 75.348 131.3160
87.890625 75.312 64.1882
88.073730 75.253 -3.0522
88.256836 75.164 -70.3059
88.439941 75.077 -137.4356
88.623047 75.022 155.2746
88.806152 74.978 87.4960
88.989258 74.876 19.0136
89.172363 74.634 -49.8386
89.355469 74.239 -118.4722
89.538574 73.741 173.6730
89.721680 73.253 106.6543
89.904785 72.818 39.9580
90.087891 72.392 -26.8319
90.270996 71.859 -93.4916
90.454102 71.196 -158.9086
90.637207 70.544 137.8673
90.820312 70.178 76.6184
91.003418 70.209 15.1902
91.186523 70.424 -48.0315
91.369629 70.534 -112.9719
91.552734 70.419 -178.2441
91.735840 70.162 117.1620
91.918945 69.915 53.5048
92.102051 69.783 -10.0233
92.285156 69.705 -74.0531
92.468262 69.603 -138.5504
92.651367 69.440 157.1568
92.834473 69.315 93.5108
93.017578 69.310 30.3266
93.200684 69.476 -33.0132
93.383789 69.741 -97.0292
93.566895 70.047 -161.7228
93.750000 70.336 133.0422
93.933105 70.611 67.5528
94.116211 70.872 1.8336
94.299316 71.136 -64.0285
94.482422 71.399 -130.2208
94.665527 71.644 163.2415
94.848633 71.835 96.2665
95.031738 71.933 29.1235
95.214844 71.937 -37.9237
95.397949 71.872 -104.5480
95.581055 71.802 -170.7741
95.764160 71.745 123.2199
95.947266 71.712 57.2651
96.130371 71.687 -8.5980
96.313477 71.714 -74.2607
96.496582 71.830 -139.9918
96.679688 72.041 153.7119
96.862793 72.251 86.3978
97.045898 72.349 18.3367
97.229004 72.269 -49.8489
97.412109 72.041 -117.3069
97.595215 71.776 176.2219
97.778320 71.568 110.4350
97.961426 71.423 44.5464
98.144531 71.238 -21.6377
98.327637 70.953 -87.6603
98.510742 70.594 -152.7322
98.693848 70.320 143.3107
98.876953 70.224 79.6674
99.060059 70.268 15.3185
99.243164 70.290 -49.9694
99.426270 70.216 -115.4913
99.609375 70.073 179.4258
99.792480 69.981 114.9671
99.975586 69.985 50.4870
100.158691 70.037 -14.4168
100.341797 70.040 -79.6808
100.524902 69.974 -144.5823
100.708008 69.913 151.2092
100.891113 69.940 87.5805
101.074219 70.080 23.8319
101.257324 70.257 -40.3104
101.440430 70.426 -104.7458
101.623535 70.579 -169.0921
101.806641 70.782 126.6869
101.989746 71.056 62.3653
102.172852 71.404 -2.3284
102.355957 71.787 -67.4618
102.539062 72.204 -132.9427
102.722168 72.644 161.1900
102.905273 73.101 94.8830
103.088379 73.535 28.0313
103.271484 73.914 -39.2023
103.454590 74.221 -106.6815
103.637695 74.466 -174.2017
103.820801 74.665 118.1878
104.003906 74.821 50.4722
104.187012 74.928 -17.4071
104.370117 74.972 -85.3104
104.553223 74.971 -153.1083
104.736328 74.939 139.2942
104.919434 74.908 71.8400
105.102539 74.871 4.3924
105.285645 74.819 -63.0879
105.468750 74.727 -130.5626
105.651855 74.597 162.1587
105.834961 74.438 95.1394
106.018066 74.271 28.4469
106.201172 74.103 -38.0278
106.384277 73.932 -104.2605
106.567383 73.758 -170.2874
106.750488 73.579 123.9758
106.933594 73.411 58.4821
107.116699 73.251 -6.7658
107.299805 73.113 -71.8212
107.482910 72.995 -136.6828
107.666016 72.921 158.5928
107.849121 72.893 93.8825
108.032227 72.915 29.0801
108.215332 72.964 -35.8856
108.398438 73.038 -100.9232
108.581543 73.132 -166.0214
108.764648 73.256 128.8551
108.947754 73.400 63.5727
109.130859 73.549 -1.8343
109.313965 73.691 -67.3547
109.497070 73.830 -132.8268
109.680176 73.988 161.7010
109.863281 74.177 96.1566
110.046387 74.398 30.3507
110.229492 74.623 -35.7207
110.412598 74.848 -102.0017
110.595703 75.069 -168.3981
110.778809 75.301 125.0609
110.961914 75.528 58.2582
111.145020 75.731 -8.8454
111.328125 75.872 -76.1754
111.511230 75.948 -143.4734
111.694336 75.973 149.4320
111.877441 75.987 82.6384
112.060547 76.020 15.9723
112.243652 76.074 -50.7142
112.426758 76.134 -117.5575
112.609863 76.177 175.5413
112.792969 76.204 108.6850
112.976074 76.224 41.9897
113.159180 76.260 -24.5774
113.342285 76.315 -91.0963
113.525391 76.394 -157.6601
113.708496 76.486 135.6663
113.891602 76.589 68.8741
114.074707 76.693 1.9273
114.257812 76.793 -65.1420
114.440918 76.881 -132.3476
114.624023 76.952 160.3779
114.807129 77.002 93.0100
114.990234 77.029 25.5794
115.173340 77.027 -41.9609
115.356445 76.988 -109.5630
115.539551 76.914 -177.2098
115.722656 76.805 115.1604
115.905762 76.673 47.5476
116.088867 76.513 -20.0487
116.271973 76.323 -87.5875
116.455078 76.090 -154.9673
116.638184 75.825 138.0020
116.821289 75.547 71.4047
117.004395 75.290 5.2435
117.187500 75.067 -60.7059
117.370605 74.873 -126.5867
117.553711 74.686 167.4988
117.736816 74.496 101.6869
117.919922 74.318 36.0315
