* Generated by rew_pipeline.py (source UUID 186deba0-cbab-4d36-ad78-2cb4c056a7bc, calibrated to its own SPL at 100 Hz)
* Measurement: L.filtered.clean-fdw6-peq
* Dated: 2026-Sep-13 14:43:17
* Note: ; Trace Arithmetic A times B A = L.nofdw.clean-fdw6-peq B = FLX-trimmed.clean-fdw6-peq
* Smoothing: None
* Frequency Step: 0.1831055 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
93.383789 72.585 -156.2839
93.566895 71.845 139.0957
93.750000 71.235 74.7405
93.933105 70.688 10.3303
94.116211 70.150 -54.0183
94.299316 69.616 -118.0927
94.482422 69.106 178.0902
94.665527 68.616 114.3388
94.848633 68.107 50.6408
95.031738 67.560 -12.6451
95.214844 67.033 -75.0816
95.397949 66.648 -136.7546
95.581055 66.470 161.5136
95.764160 66.430 98.8975
95.947266 66.392 35.4108
96.130371 66.301 -28.2171
96.313477 66.232 -91.3771
96.496582 66.305 -154.3392
96.679688 66.524 141.9126
96.862793 66.734 76.7888
97.045898 66.753 10.7937
97.229004 66.504 -54.7535
97.412109 66.088 -118.4383
97.595215 65.768 -179.7816
97.778320 65.778 119.9260
97.961426 66.071 58.7091
98.144531 66.407 -4.0127
98.327637 66.642 -67.3847
98.510742 66.825 -130.4681
98.693848 67.092 166.7518
98.876953 67.494 103.4510
99.060059 67.943 39.0052
99.243164 68.326 -26.3743
99.426270 68.619 -92.0247
99.609375 68.882 -157.5299
99.792480 69.183 136.9583
99.975586 69.513 71.0449
100.158691 69.801 4.6826
100.341797 69.997 -61.6685
100.524902 70.131 -127.4339
100.708008 70.296 167.5143
100.891113 70.558 102.6555
101.074219 70.880 37.3151
101.257324 71.162 -28.6601
101.440430 71.340 -94.8256
101.623535 71.443 -160.6098
101.806641 71.570 134.1509
101.989746 71.800 69.0430
102.172852 72.130 3.4890
102.355957 72.495 -62.6981
102.539062 72.851 -129.2550
102.722168 73.205 164.1497
102.905273 73.593 97.5635
103.088379 74.023 30.7428
103.271484 74.456 -36.5532
103.454590 74.835 -104.3219
103.637695 75.125 -172.3573
103.820801 75.331 119.5437
104.003906 75.474 51.4248
104.187012 75.573 -16.8184
104.370117 75.623 -85.2907
104.553223 75.612 -153.9603
104.736328 75.537 137.3453
104.919434 75.418 68.8242
105.102539 75.285 0.5691
105.285645 75.158 -67.4689
105.468750 75.036 -135.3942
105.651855 74.898 156.7544
105.834961 74.721 89.0428
106.018066 74.496 21.5813
106.201172 74.224 -45.5569
106.384277 73.914 -112.3640
106.567383 73.567 -178.8602
106.750488 73.186 114.9604
106.933594 72.775 49.1490
107.116699 72.348 -16.2216
107.299805 71.928 -81.0875
107.482910 71.543 -145.4165
107.666016 71.225 150.7667
107.849121 71.005 87.3459
108.032227 70.900 24.1141
108.215332 70.906 -39.1521
108.398438 71.005 -102.6029
108.581543 71.178 -166.3139
108.764648 71.411 129.6399
108.947754 71.686 65.1524
109.130859 71.974 0.1548
109.313965 72.245 -65.2990
109.497070 72.482 -131.0458
109.680176 72.692 163.0746
109.863281 72.894 97.1128
110.046387 73.100 31.0114
110.229492 73.302 -35.2865
110.412598 73.488 -101.7466
110.595703 73.652 -168.2701
110.778809 73.803 125.1980
110.961914 73.946 58.6111
111.145020 74.068 -8.1056
111.328125 74.145 -74.9145
111.511230 74.165 -141.6163
111.694336 74.148 152.0338
111.877441 74.143 86.1158
112.060547 74.198 20.4254
112.243652 74.318 -45.3942
112.426758 74.470 -111.5625
112.609863 74.615 -178.0199
112.792969 74.744 115.4406
112.976074 74.880 48.9291
113.159180 75.048 -17.6672
113.342285 75.245 -84.5768
113.525391 75.436 -151.9181
113.708496 75.586 140.4096
113.891602 75.685 72.6371
114.074707 75.748 4.9438
114.257812 75.803 -62.6667
114.440918 75.860 -130.3439
114.624023 75.904 161.7508
114.807129 75.904 93.5758
114.990234 75.833 25.2294
115.173340 75.682 -43.1201
115.356445 75.458 -111.3217
115.539551 75.178 -179.2924
115.722656 74.859 112.9820
115.905762 74.511 45.4798
116.088867 74.133 -21.8073
