* Generated by rew_pipeline.py (derived directly from its own WAV, phase referenced to its peak (sample 8192))
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
124.511719 -5.512 73.8075
124.877930 -5.451 74.4867
125.244141 -5.389 75.1480
125.610352 -5.326 75.7930
125.976562 -5.262 76.4202
126.342773 -5.197 77.0303
126.708984 -5.132 77.6237
127.075195 -5.065 78.1996
127.441406 -4.998 78.7594
127.807617 -4.931 79.3022
128.173828 -4.863 79.8286
128.540039 -4.795 80.3392
128.906250 -4.727 80.8335
129.272461 -4.658 81.3129
129.638672 -4.590 81.7768
130.004883 -4.522 82.2258
130.371094 -4.454 82.6607
130.737305 -4.386 83.0812
131.103516 -4.319 83.4884
131.469727 -4.252 83.8825
131.835938 -4.186 84.2636
132.202148 -4.120 84.6329
132.568359 -4.054 84.9901
132.934570 -3.990 85.3362
133.300781 -3.926 85.6715
133.666992 -3.862 85.9962
134.033203 -3.800 86.3111
134.399414 -3.738 86.6163
134.765625 -3.677 86.9124
135.131836 -3.617 87.2001
135.498047 -3.558 87.4795
135.864258 -3.499 87.7513
136.230469 -3.442 88.0159
136.596680 -3.385 88.2738
136.962891 -3.329 88.5254
137.329102 -3.274 88.7713
137.695312 -3.220 89.0117
138.061523 -3.167 89.2472
138.427734 -3.115 89.4781
138.793945 -3.064 89.7048
139.160156 -3.013 89.9279
139.526367 -2.964 90.1477
139.892578 -2.915 90.3644
140.258789 -2.867 90.5788
140.625000 -2.820 90.7911
140.991211 -2.774 91.0016
141.357422 -2.728 91.2108
141.723633 -2.683 91.4190
142.089844 -2.639 91.6263
142.456055 -2.595 91.8334
142.822266 -2.552 92.0401
143.188477 -2.509 92.2469
143.554688 -2.467 92.4544
143.920898 -2.425 92.6623
144.287109 -2.383 92.8710
144.653320 -2.342 93.0811
145.019531 -2.301 93.2918
145.385742 -2.260 93.5040
145.751953 -2.219 93.7179
146.118164 -2.178 93.9323
146.484375 -2.137 94.1481
146.850586 -2.095 94.3654
147.216797 -2.054 94.5828
147.583008 -2.012 94.8013
147.949219 -1.969 95.0205
148.315430 -1.926 95.2393
148.681641 -1.883 95.4585
149.047852 -1.839 95.6773
149.414062 -1.794 95.8947
149.780273 -1.748 96.1112
150.146484 -1.702 96.3262
150.512695 -1.654 96.5381
150.878906 -1.606 96.7475
151.245117 -1.556 96.9534
151.611328 -1.506 97.1544
151.977539 -1.454 97.3508
152.343750 -1.401 97.5413
152.709961 -1.347 97.7246
153.076172 -1.292 97.9003
153.442383 -1.235 98.0671
153.808594 -1.177 98.2230
154.174805 -1.118 98.3670
154.541016 -1.057 98.4976
154.907227 -0.995 98.6122
155.273438 -0.931 98.7070
155.639648 -0.866 98.7812
156.005859 -0.800 98.8332
156.372070 -0.734 98.8529
156.738281 -0.668 98.8411
157.104492 -0.602 98.8032
157.470703 -0.537 98.7225
157.836914 -0.476 98.6008
158.203125 -0.419 98.4562
158.569336 -0.365 98.2792
158.935547 -0.318 98.0716
159.301758 -0.278 97.8512
159.667969 -0.245 97.6299
160.034180 -0.218 97.4119
160.400391 -0.197 97.1974
160.766602 -0.181 97.0009
161.132812 -0.170 96.8309
161.499023 -0.161 96.6788
161.865234 -0.155 96.5443
162.231445 -0.152 96.4353
162.597656 -0.149 96.3466
162.963867 -0.146 96.2714
163.330078 -0.145 96.2129
163.696289 -0.144 96.1697
164.062500 -0.143 96.1370
164.428711 -0.143 96.1151
164.794922 -0.142 96.1034
165.161133 -0.142 96.0998
165.527344 -0.141 96.1039
165.893555 -0.141 96.1152
166.259766 -0.140 96.1328
166.625977 -0.140 96.1562
166.992188 -0.140 96.1850
167.358398 -0.139 96.2190
167.724609 -0.139 96.2577
168.090820 -0.139 96.3007
168.457031 -0.138 96.3479
168.823242 -0.138 96.3990
169.189453 -0.137 96.4538
169.555664 -0.137 96.5121
169.921875 -0.137 96.5736
170.288086 -0.136 96.6383
170.654297 -0.136 96.7059
171.020508 -0.136 96.7765
171.386719 -0.136 96.8497
171.752930 -0.135 96.9255
172.119141 -0.135 97.0038
172.485352 -0.135 97.0844
172.851562 -0.134 97.1673
173.217773 -0.134 97.2524
173.583984 -0.134 97.3395
173.950195 -0.134 97.4287
174.316406 -0.133 97.5198
174.682617 -0.133 97.6127
175.048828 -0.133 97.7075
175.415039 -0.133 97.8039
175.781250 -0.132 97.9020
176.147461 -0.132 98.0017
176.513672 -0.132 98.1030
176.879883 -0.132 98.2057
177.246094 -0.131 98.3098
177.612305 -0.131 98.4154
177.978516 -0.131 98.5222
178.344727 -0.131 98.6304
178.710938 -0.131 98.7398
179.077148 -0.130 98.8504
179.443359 -0.130 98.9621
179.809570 -0.130 99.0750
180.175781 -0.130 99.1890
180.541992 -0.130 99.3040
180.908203 -0.130 99.4200
181.274414 -0.129 99.5370
181.640625 -0.129 99.6550
182.006836 -0.129 99.7738
182.373047 -0.129 99.8936
182.739258 -0.129 100.0142
183.105469 -0.129 100.1356
183.471680 -0.129 100.2578
183.837891 -0.128 100.3807
184.204102 -0.128 100.5044
184.570312 -0.128 100.6288
184.936523 -0.128 100.7538
185.302734 -0.128 100.8795
185.668945 -0.128 101.0058
186.035156 -0.128 101.1326
186.401367 -0.128 101.2601
186.767578 -0.128 101.3880
187.133789 -0.127 101.5165
187.500000 -0.127 101.6454
187.866211 -0.127 101.7748
188.232422 -0.127 101.9046
188.598633 -0.127 102.0347
188.964844 -0.127 102.1653
189.331055 -0.127 102.2961
189.697266 -0.127 102.4272
190.063477 -0.127 102.5586
190.429688 -0.127 102.6902
190.795898 -0.127 102.8220
191.162109 -0.127 102.9540
191.528320 -0.127 103.0860
191.894531 -0.127 103.2182
192.260742 -0.127 103.3503
192.626953 -0.127 103.4825
192.993164 -0.127 103.6145
193.359375 -0.127 103.7464
193.725586 -0.127 103.8782
194.091797 -0.127 104.0097
194.458008 -0.127 104.1410
194.824219 -0.127 104.2718
195.190430 -0.127 104.4022
195.556641 -0.127 104.5320
195.922852 -0.127 104.6612
196.289062 -0.127 104.7896
196.655273 -0.127 104.9171
197.021484 -0.127 105.0435
197.387695 -0.127 105.1687
197.753906 -0.127 105.2927
198.120117 -0.127 105.4149
198.486328 -0.127 105.5349
