* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 10, 2026, 1:32:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.3 dB
* Note: ; Copy of RMS Average 1
* Measurement: LR.RMS
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB)
227.050781 73.704
227.416992 73.620
227.783203 73.533
228.149414 73.446
228.515625 73.359
228.881836 73.269
229.248047 73.179
229.614258 73.087
229.980469 72.993
230.346680 72.901
230.712891 72.807
231.079102 72.713
231.445312 72.618
231.811523 72.521
232.177734 72.426
232.543945 72.331
232.910156 72.234
233.276367 72.140
233.642578 72.044
234.008789 71.948
234.375000 71.857
234.741211 71.763
235.107422 71.672
235.473633 71.583
235.839844 71.491
236.206055 71.404
236.572266 71.320
236.938477 71.235
237.304688 71.155
237.670898 71.073
238.037109 70.994
238.403320 70.921
238.769531 70.846
239.135742 70.777
239.501953 70.709
239.868164 70.640
240.234375 70.578
240.600586 70.517
240.966797 70.458
241.333008 70.405
241.699219 70.349
242.065430 70.297
242.431641 70.250
242.797852 70.203
243.164062 70.160
243.530273 70.118
243.896484 70.076
244.262695 70.040
244.628906 70.004
244.995117 69.971
245.361328 69.941
245.727539 69.908
246.093750 69.879
246.459961 69.854
246.826172 69.827
247.192383 69.805
247.558594 69.782
247.924805 69.757
248.291016 69.739
248.657227 69.719
249.023438 69.701
249.389648 69.685
249.755859 69.665
250.122070 69.649
250.488281 69.635
250.854492 69.619
251.220703 69.606
251.586914 69.591
251.953125 69.575
252.319336 69.563
252.685547 69.549
253.051758 69.536
253.417969 69.524
253.784180 69.507
254.150391 69.493
254.516602 69.480
254.882812 69.465
255.249023 69.452
255.615234 69.435
255.981445 69.418
256.347656 69.404
256.713867 69.387
257.080078 69.370
257.446289 69.354
257.812500 69.333
258.178711 69.315
258.544922 69.297
258.911133 69.277
259.277344 69.260
259.643555 69.238
260.009766 69.217
260.375977 69.198
260.742188 69.177
261.108398 69.157
261.474609 69.137
261.840820 69.115
262.207031 69.097
262.573242 69.078
262.939453 69.058
263.305664 69.042
263.671875 69.023
264.038086 69.006
264.404297 68.993
264.770508 68.977
265.136719 68.966
265.502930 68.954
265.869141 68.942
266.235352 68.935
266.601562 68.929
266.967773 68.924
267.333984 68.923
267.700195 68.919
268.066406 68.919
268.432617 68.923
268.798828 68.926
269.165039 68.935
269.531250 68.943
269.897461 68.950
270.263672 68.963
270.629883 68.976
270.996094 68.992
271.362305 69.010
271.728516 69.025
272.094727 69.044
272.460938 69.066
272.827148 69.086
273.193359 69.111
273.559570 69.133
273.925781 69.155
274.291992 69.180
274.658203 69.204
275.024414 69.230
275.390625 69.256
275.756836 69.278
276.123047 69.302
276.489258 69.327
276.855469 69.350
277.221680 69.375
277.587891 69.396
277.954102 69.416
278.320312 69.438
278.686523 69.457
279.052734 69.477
279.418945 69.495
279.785156 69.509
280.151367 69.524
280.517578 69.538
280.883789 69.549
281.250000 69.562
281.616211 69.569
281.982422 69.575
282.348633 69.582
282.714844 69.585
283.081055 69.589
283.447266 69.590
283.813477 69.587
284.179688 69.585
284.545898 69.580
284.912109 69.574
285.278320 69.568
285.644531 69.557
286.010742 69.545
286.376953 69.533
286.743164 69.517
287.109375 69.503
287.475586 69.486
287.841797 69.464
288.208008 69.444
288.574219 69.422
288.940430 69.398
289.306641 69.375
289.672852 69.347
290.039062 69.319
290.405273 69.291
290.771484 69.260
291.137695 69.231
291.503906 69.198
291.870117 69.163
292.236328 69.131
292.602539 69.095
292.968750 69.060
293.334961 69.025
293.701172 68.986
294.067383 68.949
294.433594 68.912
294.799805 68.872
295.166016 68.836
295.532227 68.797
295.898438 68.756
296.264648 68.719
296.630859 68.679
296.997070 68.641
297.363281 68.604
297.729492 68.562
298.095703 68.524
298.461914 68.487
298.828125 68.449
299.194336 68.415
299.560547 68.377
299.926758 68.340
300.292969 68.306
300.659180 68.271
301.025391 68.239
301.391602 68.208
301.757812 68.173
302.124023 68.142
302.490234 68.112
302.856445 68.082
303.222656 68.057
303.588867 68.028
303.955078 68.000
304.321289 67.976
304.687500 67.950
305.053711 67.928
305.419922 67.907
305.786133 67.883
306.152344 67.864
306.518555 67.843
306.884766 67.824
307.250977 67.809
307.617188 67.789
307.983398 67.771
308.349609 67.757
308.715820 67.740
309.082031 67.728
309.448242 67.714
309.814453 67.697
310.180664 67.685
